time	data	mean	q025	med	q975
42	4.503333330372475e-05	5.732523953795925e-05	5.1743791653420914e-05	5.7384051292692334e-05	6.340546824109841e-05
43	3.91833333370344e-05	5.415606928125135e-05	4.8564571245849016e-05	5.4218123057195674e-05	6.006473422894458e-05
44	3.568333333703441e-05	5.075274270899626e-05	4.503353390881749e-05	5.096662904979592e-05	5.6187289376869556e-05
45	3.3550000011103215e-05	4.718882536072465e-05	4.1333524427471005e-05	4.765756031463504e-05	5.207121134037367e-05
46	3.1816666662965597e-05	4.353547682482005e-05	3.761558547777737e-05	4.396214797247016e-05	4.850006465525683e-05
47	3.2816666662965594e-05	3.9859323121473594e-05	3.392429352298538e-05	4.0250586304499026e-05	4.4956427254835354e-05
48	3.2466666696275244e-05	3.6220756433893586e-05	3.0179316108572247e-05	3.6560505535692845e-05	4.1166204003026804e-05
49	3.048333329262153e-05	3.2672753623822555e-05	2.6613710802257803e-05	3.293294589118115e-05	3.7441513931732955e-05
50	2.5933333281518317e-05	2.9260025091180636e-05	2.3291397813115004e-05	2.94004193614713e-05	3.387346659559155e-05
51	2.374999994448391e-05	2.6018658658530502e-05	2.0249762105549897e-05	2.617645622143273e-05	3.0548607927560295e-05
52	2.020000004441287e-05	2.297620419706957e-05	1.7463345555406607e-05	2.3155928491736747e-05	2.7366481574052847e-05
53	1.703333330372475e-05	2.01519119254512e-05	1.4939062406469077e-05	2.0288657609647217e-05	2.4354675220341212e-05
54	1.4583333314827969e-05	1.755747636543031e-05	1.2674067476330695e-05	1.7668733369912447e-05	2.155568025469883e-05
55	1.3423333279297672e-05	1.5197733499729153e-05	1.0636033962136115e-05	1.52665946030961e-05	1.8986811584817997e-05
56	1.308333331482797e-05	1.3071663991768927e-05	8.821467996365564e-06	1.3080967792086925e-05	1.662005791729496e-05
57	1.0518333300393788e-05	1.1173348914374955e-05	7.271135461992192e-06	1.114636996506996e-05	1.451622731140948e-05
58	9.928333280407994e-06	9.492956802092484e-06	5.951351215132782e-06	9.450274550175454e-06	1.2606967512006037e-05
59	8.30666666074495e-06	8.017758048232748e-06	4.831336804877598e-06	7.981748289574957e-06	1.0911634564633467e-05
60	7.531666710709432e-06	6.732937640626828e-06	3.8916877550231e-06	6.694743967876495e-06	9.392305630105218e-06
61	7.401666681841065e-06	5.622459772481536e-06	3.1168898377527718e-06	5.610195947812188e-06	8.04082180406857e-06
62	7.383333381447277e-06	4.669684187976367e-06	2.4799914716552783e-06	4.690253200279424e-06	6.847162837270295e-06
63	7.956666694054604e-06	3.857990404402824e-06	1.9590974433270095e-06	3.8968191285349365e-06	5.795834804365821e-06
64	7.419999982234851e-06	3.1711675391854226e-06	1.5366556150380052e-06	3.1996260557549588e-06	4.865590174222038e-06
65	7.994999998889678e-06	2.5938166124568605e-06	1.1968957590259983e-06	2.6139630443893294e-06	4.100807019868815e-06
66	7.403333385888566e-06	2.1115289071852812e-06	9.25808482499015e-07	2.1267683402735256e-06	3.4480093084537007e-06
67	7.051666715150719e-06	1.7110992572834553e-06	7.112469358987625e-07	1.727016307799709e-06	2.8788077953796494e-06
68	7.088333315938292e-06	1.380563222402619e-06	5.415750827195634e-07	1.3961958375086241e-06	2.3912044860467313e-06
69	6.163333332593119e-06	1.1092479095140911e-06	4.083469674268967e-07	1.12043606770248e-06	1.9786778386445523e-06
70	5.978333291511212e-06	8.877364172998904e-07	3.0574604584209273e-07	8.906821177779011e-07	1.6315022993586947e-06
71	4.8849999744625985e-06	7.07815536184437e-07	2.273613478486594e-07	7.064937682696835e-07	1.3410716012503734e-06
72	4.588333315938292e-06	5.623927836827964e-07	1.6786410711809526e-07	5.554505317985005e-07	1.0988987871247065e-06
73	4.293333361461485e-06	4.454040956885785e-07	1.2302878164072678e-07	4.350235348652449e-07	8.97867474281738e-07
74	4.090000019985792e-06	3.517065247313249e-07	8.939078807901795e-08	3.3871513572382924e-07	7.316619578245628e-07
75	3.996666702937178e-06	2.7698091423814476e-07	6.423572545250639e-08	2.640206074857665e-07	5.948111658364744e-07
76	4.366666674068812e-06	2.1761860222081614e-07	4.580142329601226e-08	2.0480874874362497e-07	4.825336991310264e-07
77	4.626666620773366e-06	1.706381347747513e-07	3.241707722649159e-08	1.5977819702943558e-07	3.907435476813693e-07
78	4.293333361461485e-06	1.3358248161785197e-07	2.2763542367806145e-08	1.252017908423353e-07	3.159419244166899e-07
79	5.125000027758045e-06	1.0444743043057868e-07	1.5867200792525566e-08	9.679677177367598e-08	2.5516223709453436e-07
80	4.5333333037247515e-06	8.160533704387392e-08	1.0975828989760126e-08	7.546638996860325e-08	2.0591093654382102e-07
81	5.2549999455942315e-06	6.37409456834341e-08	7.536397439328012e-09	5.893869753634705e-08	1.660932460301303e-07
82	5.106666616332078e-06	4.980085237896023e-08	5.14131291610234e-09	4.603624806989805e-08	1.3397114287399087e-07
83	6.103333319269257e-06	3.894105371461847e-08	3.51706055284865e-09	3.5976244125205044e-08	1.0810109092505206e-07
84	6.658333331482797e-06	3.049385777403083e-08	2.4149308002686396e-09	2.813977559684496e-08	8.729563611605592e-08
85	5.696666636317871e-06	2.3927616401964363e-08	1.6447258500364694e-09	2.1768503838382956e-08	7.058208026771404e-08
86	5.991666701826857e-06	1.8827424226521736e-08	1.1192310793753952e-09	1.585646643552381e-08	5.716084688106643e-08
87	5.454999990007104e-06	1.486406056780921e-08	7.668773361047057e-10	1.1539949842117109e-08	4.639282086882007e-08
88	5.454999990007104e-06	1.1782957454497602e-08	5.334212231476463e-10	8.532618992809364e-09	3.774264345933253e-08
89	4.346666669627525e-06	9.38435126226969e-09	3.769893071794024e-10	6.594277318251189e-09	3.0801665893102853e-08
90	4.513333299283465e-06	7.513577983810236e-09	2.7350804758273125e-10	5.155751104651313e-09	2.521423096002316e-08
91	4.328333369233738e-06	6.0506663393698435e-09	2.0628130062287624e-10	4.088987401452212e-09	2.071978130409054e-08
92	4.033333303724752e-06	4.902890742660369e-09	1.611981620265638e-10	3.2585915287120082e-09	1.7093160620659383e-08
93	3.7749999500355194e-06	3.999206319643217e-09	1.2961678558024002e-10	2.648822684859631e-09	1.4158141968134014e-08
94	3.461666695164926e-06	3.284157488126081e-09	1.0627682467187915e-10	2.21397038292825e-09	1.1783134846626803e-08
