time	data	mean	q025	med	q975
51	0.00017224316667429493	0.00014157623249528436	0.00013543501062560542	0.00014116439454053695	0.00015038914472506693
52	0.0001553931666945469	0.00014094257795599827	0.00013510690413285934	0.0001405372258279046	0.00014967858104207967
53	0.0001408436665744526	0.00013960416945484215	0.000133893265374492	0.0001391453767807055	0.00014805884615506557
54	0.00011789516657870552	0.00013759112791449606	0.0001317571751279782	0.00013712310173261328	0.00014595251521505695
55	0.00011475616663014558	0.0001349430649357464	0.00012903600350350753	0.00013446116177922543	0.00014313181922377
56	0.00012241816676542886	0.00013170792065675545	0.00012597347480903644	0.00013123041065691237	0.00013964742243070686
57	0.00011563383326049368	0.00012794045091117827	0.00012214350664000663	0.00012767110627843618	0.0001355573699527377
58	0.00011173383334150164	0.00012370084838238737	0.00011791362832711127	0.00012365921913692356	0.00013064939851988096
59	0.00012186150007310969	0.00011905311004891471	0.0001134054394603263	0.00011898641707762911	0.0001255579367386722
60	0.00012179483335243772	0.00011406356752386606	0.00010829401263672555	0.00011406555189206808	0.00012014615007619843
61	0.0001082298333706645	0.00010879938351891578	0.00010294027492767577	0.00010877773626880747	0.00011472522437621528
62	8.932000009720956e-05	0.00010332719284947347	9.758123508622693e-05	0.00010316642990239444	0.00010933222115540215
63	8.19609999299281e-05	9.771184263167403e-05	9.210388357356506e-05	9.762715436590122e-05	0.0001036151365694346
64	7.669433324976011e-05	9.201530071154412e-05	8.653061772044652e-05	9.196906735035019e-05	9.771130918275679e-05
65	6.4616666659916e-05	8.629575356197759e-05	8.093381719833688e-05	8.616782680170084e-05	9.181955575541242e-05
66	6.271666674092397e-05	8.060679586484861e-05	7.53161366625739e-05	8.054994342064024e-05	8.596015645613696e-05
67	6.396666663966401e-05	7.499697387913846e-05	6.960367218649583e-05	7.48829109910143e-05	8.016363797523644e-05
68	5.839999991899203e-05	6.950927908685417e-05	6.399337036715197e-05	6.938016401298707e-05	7.456335339738994e-05
69	5.523333331983201e-05	6.418100721062735e-05	5.870269773405307e-05	6.419036280984932e-05	6.908818354426301e-05
70	5.2383333340084e-05	5.90436739502069e-05	5.3734615146204724e-05	5.913080005104879e-05	6.39526494821824e-05
71	4.606666672067198e-05	5.412304229705781e-05	4.9010152936298574e-05	5.4152493860462236e-05	5.902743418944676e-05
72	4.233333340083997e-05	4.943938073007452e-05	4.444347039272437e-05	4.9406361669499546e-05	5.430338642470358e-05
73	4.131666661941202e-05	4.50076793858897e-05	4.006961315339876e-05	4.4944234116192546e-05	4.984003363599698e-05
74	3.889999991899203e-05	4.083804601560284e-05	3.5866863738970394e-05	4.078477870274978e-05	4.5667257087305595e-05
75	3.3566666720671975e-05	3.693614837369617e-05	3.197306001164663e-05	3.691063100362028e-05	4.174715397291172e-05
76	3.4316666619412016e-05	3.3303605845286736e-05	2.8385948403355877e-05	3.319382634720787e-05	3.805086240459443e-05
77	4.343333327932802e-05	2.9938552550231112e-05	2.5212935850457274e-05	2.9950341981444722e-05	3.449347746774914e-05
78	4.0383333340084e-05	2.683607619396916e-05	2.2321006047420108e-05	2.682034683990784e-05	3.1225406868178444e-05
79	3.5516666578908034e-05	2.3988710906176213e-05	1.9659322307297123e-05	2.3966050270042165e-05	2.822266036266575e-05
80	3.2983333421091964e-05	2.1386927110248925e-05	1.7217360757123896e-05	2.1366285750229358e-05	2.5516179866631217e-05
81	3.233333340083997e-05	1.90195322685868e-05	1.5024012236002168e-05	1.9002188751064737e-05	2.3036254991624123e-05
82	2.868333338058798e-05	1.6874140464850083e-05	1.303748414211849e-05	1.6857499375960933e-05	2.0760389579642988e-05
83	1.646666663966401e-05	1.4937473269125996e-05	1.1250999676150949e-05	1.4924294655651275e-05	1.8678539492861012e-05
84	1.468333338058798e-05	1.3195756519325974e-05	9.667602704671658e-06	1.3109784551771337e-05	1.677997978431117e-05
85	1.546666663966401e-05	1.1634964965265607e-05	8.271343362276694e-06	1.1484672667663311e-05	1.5052969739202541e-05
86	1.586666676117596e-05	1.0241104925641754e-05	7.0463064525506425e-06	1.01071086667379e-05	1.3466465431970415e-05
87	1.481666661941202e-05	9.000398244575685e-06	5.976937107232729e-06	8.892082028045064e-06	1.2038386128699487e-05
88	1.5083333299580016e-05	7.899471403519086e-06	5.0481699148231e-06	7.831013532937403e-06	1.0750880965465473e-05
