time	data	mean	q025	med	q975
45	1.6850000038827837e-05	3.7726672799258076e-05	3.0129584142596963e-05	3.752492644374861e-05	4.3829511152640116e-05
46	1.7783333331895264e-05	4.1419116697056855e-05	3.331809965792114e-05	4.140888330693269e-05	4.771145557563298e-05
47	2.2566666663790528e-05	4.5301514743843916e-05	3.6699674604898326e-05	4.569001226288837e-05	5.1965325030916774e-05
48	2.7749999978428978e-05	4.93611972114882e-05	4.029665858252213e-05	4.9586998563184095e-05	5.6418679417653425e-05
49	3.3716666624962696e-05	5.3582343213240864e-05	4.4102204668959575e-05	5.3617841271583e-05	6.102468724591287e-05
50	3.596666664653371e-05	5.794599732276608e-05	4.807142232248962e-05	5.786284952081213e-05	6.559311345233236e-05
51	4.0033333353466285e-05	6.243011332396558e-05	5.218581651960592e-05	6.251257913061805e-05	7.038136620177121e-05
52	4.518333331463845e-05	6.700969225597122e-05	5.642355693167609e-05	6.700511140765087e-05	7.530292079409568e-05
53	5.719950001824909e-05	7.165697507451432e-05	6.075970760012826e-05	7.153896232631922e-05	8.049193998858932e-05
54	6.426616663889757e-05	7.634170464596779e-05	6.51663420554397e-05	7.630614698989267e-05	8.586357320186312e-05
55	8.243716667919223e-05	8.103145379479424e-05	6.96072224331154e-05	8.118350646885489e-05	9.122376566524649e-05
56	0.00010199649997243223	8.5692028297105e-05	7.355810357541156e-05	8.599449004243349e-05	9.652876953975057e-05
57	0.00010971316668367901	9.028788441583789e-05	7.746501517413978e-05	9.054483167402822e-05	0.00010173365433321556
58	0.000112713166683679	9.478265376367365e-05	8.14349070618603e-05	9.526056462146368e-05	0.00010679267053382291
59	0.00011114566668820893	9.913964318241888e-05	8.530756941445216e-05	9.97661022225448e-05	0.00011176704059177404
60	0.00011596516668402415	0.00010332239314698403	8.899490408185106e-05	0.0001039188815283966	0.00011655824582008853
61	0.00010981016664649057	0.00010729522809285077	9.236313148742319e-05	0.00010800585817103644	0.00012107192361668908
62	0.00010922050001108751	0.00011102387850495338	9.546498098473906e-05	0.00011179827197414508	0.00012500991219548983
63	0.00011205683334134337	0.00011447593550980216	9.832094301139244e-05	0.0001152992282451037	0.00012859523055670463
64	0.00011560683337154281	0.00011762140390662149	0.00010103021154184914	0.00011847765677325584	0.00013180068851507309
65	0.00011835350002325357	0.00012043325964384033	0.00010364502481494077	0.00012132293453736901	0.00013458738034096305
66	0.00011583683334652042	0.000122887750947755	0.00010597367712050663	0.00012394478084451295	0.00013693026198270504
67	0.00011810900000802441	0.00012496469495703507	0.00010799780802052166	0.0001262710531512921	0.00013883851131935512
68	0.0001184396666742309	0.00012664809326604166	0.00010969736757899708	0.00012777630168007466	0.00014051159473632986
69	0.00011974833331506987	0.0001279260927693561	0.0001109111320829697	0.00012891256398452847	0.00014176370993948406
70	0.0001270245000204062	0.0001287910014233412	0.00011159493778698629	0.0001297001599729567	0.00014254397979674202
71	0.00012072916668644011	0.00012923959904104714	0.00011191658290643188	0.00013005242687616974	0.00014300452280809287
72	0.00011095966667768226	0.0001292731150619897	0.0001119071176987528	0.00012997178020638915	0.00014300705851830078
