# camdl survey landscape; run_hash=aaa9fba3b601ba88e5ca4041c3224122b985842b1ebcbdab55e715c4a0cdebf2; version=0.1.0+578d682
# eval=simulate; n_points=400
beta	z_lat	d_inf	delta	e0	loglik	loglik_se	n_replicates	point_id	loglik_type
0.28547919304857666	7.180061534302435	7.600696066696525	0.4038621181026553	0.5126095472211613	-18.83805593338493	0	1	359	marginal
0.23749543362034525	7.199743574914232	10.955836001065599	0.48753573088501545	1.3673024023542086	-18.83990475082256	0	1	1	marginal
0.15198881128042802	9.599222972667178	10.637580032595745	0.34846574778681916	0.6186505207570021	-18.862767676286218	0	1	308	marginal
0.15747827294210465	8.410918404748099	7.323736381239206	0.4208586392942253	2.942490266271365	-18.882435545126274	0	1	278	marginal
0.13082463489906598	8.042115411099093	9.550011717114925	0.32109030171390507	2.8354764313572423	-18.884073293475705	0	1	351	marginal
0.10918352416389761	7.593013533785754	10.291962722117061	0.45693509229124424	3.273119731593638	-18.892021773024503	0	1	162	marginal
0.18741237705757244	10.816113807675846	8.181652486687428	0.37331075738398184	1.159541009054954	-18.904394117307014	0	1	304	marginal
0.24346152385326592	6.004150980146299	8.664493791964357	0.4983612279496708	0.929408296313286	-18.905614896118262	0	1	93	marginal
0.11323158227146478	8.289362281548657	8.744381636326215	0.4943008117825976	1.7059810733736211	-18.92687268641118	0	1	332	marginal
0.10179863492312782	9.78419825504724	8.930331512188179	0.4174733858393055	2.9130788335582034	-18.933617147959765	0	1	213	marginal
0.12930571780790032	6.098532035099	7.28514017377969	0.4439192231430644	1.5839722757069663	-18.94988026534463	0	1	296	marginal
0.1336004097694852	11.010432914482461	7.2543680578129175	0.3802753320185606	1.646199973505753	-18.98476138791257	0	1	392	marginal
0.12118357977628631	7.645296682048581	12.482692279204848	0.43116702301684995	1.189956637061196	-19.02006911286298	0	1	115	marginal
0.13682872546529865	9.314321884821558	11.685443631351523	0.3807746463296282	0.8603692578935523	-19.032285035978358	0	1	295	marginal
