comparator,model,noise,regime,treatment,rep,n_true_pairs,n_scored,avg_precision,best_f1,best_f1_precision,best_f1_recall
jw_tf,full,severe,split,expand,0,10070,27605,0.9891715446335777,0.9738178198108512,0.97624750499002,0.9714001986097319
jw_tf,full,severe,split,expand,1,10056,27523,0.990175665369805,0.9744432820206249,0.9763402216232405,0.9725536992840096
jw_tf,full,severe,split,expand,2,10046,27553,0.9896893136492888,0.9745045314211731,0.9749900358708649,0.974019510252837
jw_tf,address_heavy,severe,split,none,0,10070,27073,0.9457646644723008,0.9236678335278102,0.9048390169556106,0.9432969215491559
jw_tf,address_heavy,severe,split,none,1,10056,27043,0.9480468229465946,0.9265381981805733,0.9116458132820019,0.9419252187748608
jw_tf,address_heavy,severe,split,none,2,10046,27125,0.9442790381663235,0.9211861100273117,0.9030407343660356,0.9400756520007963
jw_tf,address_heavy,severe,split,abbreviate,0,10070,27371,0.9539348988650399,0.9166421496518584,0.905366137156141,0.9282025819265144
jw_tf,address_heavy,severe,split,abbreviate,1,10056,27257,0.9546235542801964,0.9210734017363851,0.9138606108065779,0.9284009546539379
jw_tf,address_heavy,severe,split,abbreviate,2,10046,27314,0.9543557398204188,0.9142238835333464,0.9035582344934863,0.9251443360541509
jw_tf,address_heavy,severe,split,expand,0,10070,27306,0.9500287151732475,0.914782779634362,0.9055263669974704,0.9242303872889771
jw_tf,address_heavy,severe,split,expand,1,10056,27220,0.9532704221127343,0.920594186448206,0.9137846575879298,0.9275059665871122
jw_tf,address_heavy,severe,split,expand,2,10046,27276,0.9505983461240136,0.9134733631757588,0.9029466109112126,0.9242484570973521
jw_tf,full,garbled,split,none,0,10070,27592,0.9890507449560384,0.9743054520153073,0.97522634563725,0.9733862959285005
jw_tf,full,garbled,split,none,1,10056,27445,0.9891315976072311,0.9738188682994684,0.972997121016579,0.9746420047732697
jw_tf,full,garbled,split,none,2,10046,27525,0.9890264882306089,0.9742442322991248,0.973276375918935,0.9752140155285686
jw_tf,full,garbled,split,abbreviate,0,10070,27599,0.9877881491113203,0.9690422605651412,0.9761209068010076,0.9620655412115193
jw_tf,full,garbled,split,abbreviate,1,10056,27484,0.9878937429651944,0.9697667434177595,0.9763152590203588,0.9633054892601431
jw_tf,full,garbled,split,abbreviate,2,10046,27568,0.9879519078795027,0.9710768614891914,0.9763533910243509,0.9658570575353375
jw_tf,full,garbled,split,expand,0,10070,27584,0.987114786559208,0.9692092372288313,0.975744766505636,0.9627606752730884
jw_tf,full,garbled,split,expand,1,10056,27474,0.9874381595696101,0.9688581314878894,0.9772382397572079,0.9606205250596659
jw_tf,full,garbled,split,expand,2,10046,27533,0.9872723350994788,0.9700580813138395,0.9759218214789442,0.964264383834362
jw_tf,address_heavy,garbled,split,none,0,10070,26193,0.9317912421977924,0.9099250197316495,0.904038423838463,0.9158887785501489
jw_tf,address_heavy,garbled,split,none,1,10056,25936,0.9287500022363847,0.9138093584081775,0.9119540457561652,0.9156722354813047
jw_tf,address_heavy,garbled,split,none,2,10046,26126,0.9310054231574942,0.9091537815541174,0.9024222810630578,0.9159864622735417
jw_tf,address_heavy,garbled,split,abbreviate,0,10070,26420,0.9304845613859863,0.8942317304808558,0.9002616747181964,0.8882820258192652
jw_tf,address_heavy,garbled,split,abbreviate,1,10056,26202,0.9302235777749689,0.8967667320360034,0.9070287864917099,0.8867342879872713
jw_tf,address_heavy,garbled,split,abbreviate,2,10046,26377,0.9284939330100889,0.8920682730923695,0.8998379582742556,0.8844316145729644
jw_tf,address_heavy,garbled,split,expand,0,10070,26292,0.926458110985278,0.8924510344136652,0.9004346507631659,0.8846077457795432
jw_tf,address_heavy,garbled,split,expand,1,10056,26071,0.9259267746396829,0.8942127874652515,0.9092404152533662,0.8796738265712013
jw_tf,address_heavy,garbled,split,expand,2,10046,26187,0.9233647247527712,0.8884971796937953,0.899184505606524,0.8780609197690623
