metric,noise,regime,treatment,auc,true_mean,nonmatch_mean
jaro,severe,dropsuffix,none,0.995570776263486,0.9241016828284025,0.4750552014472347
levenshtein_norm,severe,dropsuffix,none,0.9969820643098757,0.8415638412228766,0.15719335557742706
damerau_lev_norm,severe,dropsuffix,none,0.9969158467954793,0.8416334512691999,0.15909437027485335
jaro_winkler,severe,dropsuffix,abbreviate,0.9956676800584985,0.9442045936414125,0.47245600154158723
jaro,severe,dropsuffix,abbreviate,0.99562971840559,0.9249307475873162,0.4722854782932026
levenshtein_norm,severe,dropsuffix,abbreviate,0.9975470240406326,0.8422790431151748,0.15817867308912859
damerau_lev_norm,severe,dropsuffix,abbreviate,0.9975115499255887,0.8423606718975736,0.16034497911644693
jaro_winkler,severe,dropsuffix,expand,0.9937849474819853,0.9347265474415194,0.48940659267833037
jaro,severe,dropsuffix,expand,0.9933734377432468,0.910759657529915,0.4892324501801837
levenshtein_norm,severe,dropsuffix,expand,0.9907320466757333,0.8056053542596007,0.1690863251104987
damerau_lev_norm,severe,dropsuffix,expand,0.9906494117494117,0.8056659631582228,0.17026522704335878
jaro_winkler,garbled,consistent,none,0.9924155110953654,0.9502154689249611,0.49697066687249164
jaro,garbled,consistent,none,0.9923980108538212,0.9454358950746836,0.49677456108937984
levenshtein_norm,garbled,consistent,none,0.9966673459083658,0.9143472127737484,0.17359694865061215
damerau_lev_norm,garbled,consistent,none,0.9966219569380022,0.9145619436606192,0.1761718737009461
jaro_winkler,garbled,consistent,abbreviate,0.9911717536806586,0.9483214009677177,0.49469716696556437
jaro,garbled,consistent,abbreviate,0.9911282352463089,0.9435140244331984,0.49449907802445814
levenshtein_norm,garbled,consistent,abbreviate,0.9951640686035531,0.908061448342586,0.17748598914745725
damerau_lev_norm,garbled,consistent,abbreviate,0.9950565937210296,0.9082856040278936,0.18071554789178274
jaro_winkler,garbled,consistent,expand,0.9866545825736974,0.9465694595655698,0.5151920088499323
jaro,garbled,consistent,expand,0.9864083980677127,0.9418658971619106,0.5149673331759443
levenshtein_norm,garbled,consistent,expand,0.9906405711308862,0.9056358226370957,0.18878978571442637
damerau_lev_norm,garbled,consistent,expand,0.9906593934206483,0.9058306623668229,0.19015030756565288
jaro_winkler,garbled,split,none,0.9904919179369316,0.9132172063096373,0.4955401310512221
jaro,garbled,split,none,0.990500053682743,0.8886281303480252,0.495368628029948
levenshtein_norm,garbled,split,none,0.9958839327271883,0.7502624582739594,0.16297237835013714
damerau_lev_norm,garbled,split,none,0.9958784838895782,0.7504713403259793,0.16471213953590455
jaro_winkler,garbled,split,abbreviate,0.9912886458638527,0.9483214009677177,0.49455365175807725
jaro,garbled,split,abbreviate,0.991237432400012,0.9435140244331984,0.49439757964360126
levenshtein_norm,garbled,split,abbreviate,0.9953129067788422,0.908061448342586,0.17637256071080215
damerau_lev_norm,garbled,split,abbreviate,0.995212970420076,0.9082856040278936,0.1795766744629196
jaro_winkler,garbled,split,expand,0.9868787019350005,0.9465694595655698,0.5144241330258761
jaro,garbled,split,expand,0.9866467549478027,0.9418658971619106,0.5142340503337739
levenshtein_norm,garbled,split,expand,0.9908696138956643,0.9056358226370957,0.18796672388073885
damerau_lev_norm,garbled,split,expand,0.9908894664671775,0.9058306623668229,0.18934318935697525
jaro_winkler,garbled,mixed,none,0.9895514910418376,0.9302931308175847,0.5006100606851691
jaro,garbled,mixed,none,0.9894643496409449,0.9155776243387784,0.5004175654384663
levenshtein_norm,garbled,mixed,none,0.9940664656510616,0.8280970045550038,0.17322567837537947
damerau_lev_norm,garbled,mixed,none,0.9940361184964022,0.8283063292726095,0.17523951759003628
jaro_winkler,garbled,mixed,abbreviate,0.9910889780345528,0.9483214009677177,0.49494968744614903
jaro,garbled,mixed,abbreviate,0.9910341023895445,0.9435140244331984,0.4947828716932405
levenshtein_norm,garbled,mixed,abbreviate,0.9951476158602083,0.908061448342586,0.17736815629190497
damerau_lev_norm,garbled,mixed,abbreviate,0.9950454642858422,0.9082856040278936,0.18051075217877677
jaro_winkler,garbled,mixed,expand,0.9866857841675835,0.9465694595655698,0.5152457667860875
jaro,garbled,mixed,expand,0.9864436301292967,0.9418658971619106,0.5150442368019164
levenshtein_norm,garbled,mixed,expand,0.9907600296807103,0.9056358226370957,0.188769968791808
damerau_lev_norm,garbled,mixed,expand,0.9907782805565171,0.9058306623668229,0.19013119412398174
jaro_winkler,garbled,dropsuffix,none,0.9884427295374412,0.9247208339269765,0.47252697920824355
jaro,garbled,dropsuffix,none,0.9884245189841585,0.908942929862091,0.4723261668687345
levenshtein_norm,garbled,dropsuffix,none,0.9930409358071346,0.81459226322755,0.15488992734436374
damerau_lev_norm,garbled,dropsuffix,none,0.9929566944256669,0.8148015461193466,0.15674166363269287
jaro_winkler,garbled,dropsuffix,abbreviate,0.9876960573146453,0.9252838799781202,0.4698687734506378
jaro,garbled,dropsuffix,abbreviate,0.9876823966962164,0.9106624027796031,0.4696617086673638
levenshtein_norm,garbled,dropsuffix,abbreviate,0.9925213629173865,0.8191234552497529,0.15606787525932989
damerau_lev_norm,garbled,dropsuffix,abbreviate,0.9924362067502942,0.8193511153711559,0.15820651753765252
jaro_winkler,garbled,dropsuffix,expand,0.9835099117857117,0.9151877896930336,0.48603999923515956
jaro,garbled,dropsuffix,expand,0.9831648108519628,0.8957583625236166,0.485845140553966
levenshtein_norm,garbled,dropsuffix,expand,0.9842352830545833,0.7790007358652073,0.16663726625312442
damerau_lev_norm,garbled,dropsuffix,expand,0.9842318611413087,0.7791975481608396,0.1677969041886536
