noise,regime,treatment,rep,level,m,u
elevated,split,none,2,Jaro-Winkler distance of street_name >= 0.92,0.7657679711872234,0.0011952135901458062
elevated,split,none,2,Jaro-Winkler distance of street_name >= 0.7,0.10134961814077023,0.008347129149772783
elevated,split,none,2,All other comparisons,0.0027706483993008143,0.9904116875066142
elevated,split,abbreviate,0,Exact match on street_name,0.8595914339137716,0.0013646545742888295
elevated,split,abbreviate,0,Jaro-Winkler distance of street_name >= 0.92,0.08970575203535772,0.0002535434631777183
elevated,split,abbreviate,0,Jaro-Winkler distance of street_name >= 0.7,0.04890661249237376,0.013828922588958271
elevated,split,abbreviate,0,All other comparisons,0.0017962015584969114,0.9845528793735752
elevated,split,abbreviate,1,Exact match on street_name,0.8580642707806654,0.0009612177961684038
elevated,split,abbreviate,1,Jaro-Winkler distance of street_name >= 0.92,0.09611649047841572,0.00021713404111340994
elevated,split,abbreviate,1,Jaro-Winkler distance of street_name >= 0.7,0.044865533396010474,0.01398177288224495
elevated,split,abbreviate,1,All other comparisons,0.0009537053449084096,0.9848398752804732
elevated,split,abbreviate,2,Exact match on street_name,0.8607854845108983,0.0012950785445514869
elevated,split,abbreviate,2,Jaro-Winkler distance of street_name >= 0.92,0.09269977561807077,0.0002658835496768583
elevated,split,abbreviate,2,Jaro-Winkler distance of street_name >= 0.7,0.045784526022649194,0.014324942270892756
elevated,split,abbreviate,2,All other comparisons,0.0007302138483817421,0.984114095634879
elevated,split,expand,0,Exact match on street_name,0.859621473113704,0.0011084927843811093
elevated,split,expand,0,Jaro-Winkler distance of street_name >= 0.92,0.08966211854519843,0.0002792273965212096
elevated,split,expand,0,Jaro-Winkler distance of street_name >= 0.7,0.04908697834253396,0.02875915932142903
elevated,split,expand,0,All other comparisons,0.0016294299985635723,0.9698531204976687
elevated,split,expand,1,Exact match on street_name,0.8581327129158561,0.0009674805518751961
elevated,split,expand,1,Jaro-Winkler distance of street_name >= 0.92,0.09219634965553232,0.0003372077774842103
elevated,split,expand,1,Jaro-Winkler distance of street_name >= 0.7,0.04832589289295117,0.029350642471254976
elevated,split,expand,1,All other comparisons,0.001345044535660373,0.9693446691993857
elevated,split,expand,2,Exact match on street_name,0.8608071224188443,0.0010703694663999996
elevated,split,expand,2,Jaro-Winkler distance of street_name >= 0.92,0.09013033709435257,0.00031019893217536015
elevated,split,expand,2,Jaro-Winkler distance of street_name >= 0.7,0.04749073752708062,0.028577630897587313
elevated,split,expand,2,All other comparisons,0.001571802959722441,0.9700418007038373
