comparator,model,noise,regime,treatment,rep,level,m,u
lev_abs,full,elevated,split,none,0,Levenshtein distance of street_name <= 2,0.16088772145462277,0.00010260656682027649
lev_abs,full,elevated,split,none,0,All other comparisons,0.6881026741257684,0.9998219886072709
lev_abs,full,elevated,split,none,1,Exact match on street_name,0.12760771678950708,5.178892567071817e-05
lev_abs,full,elevated,split,none,1,Levenshtein distance of street_name <= 1,0.019271584698473714,1.9395055828874533e-05
lev_abs,full,elevated,split,none,1,Levenshtein distance of street_name <= 2,0.15759353801462614,8.129417017634646e-05
lev_abs,full,elevated,split,none,1,All other comparisons,0.695527160497393,0.999847521848324
lev_abs,full,elevated,split,none,2,Exact match on street_name,0.13016043580962677,5.749296152720143e-05
lev_abs,full,elevated,split,none,2,Levenshtein distance of street_name <= 1,0.017532795943876467,1.9818392881390255e-05
lev_abs,full,elevated,split,none,2,Levenshtein distance of street_name <= 2,0.15845385859945077,9.281286963264941e-05
lev_abs,full,elevated,split,none,2,All other comparisons,0.6938529096470458,0.9998298757759587
lev_abs,full,elevated,split,abbreviate,0,Exact match on street_name,0.8596207528344837,0.0011981463864625674
lev_abs,full,elevated,split,abbreviate,0,Levenshtein distance of street_name <= 1,0.06347141817118473,0.00012712162997556063
lev_abs,full,elevated,split,abbreviate,0,Levenshtein distance of street_name <= 2,0.03651691152229548,0.000320306469229759
lev_abs,full,elevated,split,abbreviate,0,All other comparisons,0.04039091747203613,0.9983544255143321
lev_abs,full,elevated,split,abbreviate,1,Exact match on street_name,0.8582366753455049,0.0012240325050652757
lev_abs,full,elevated,split,abbreviate,1,Levenshtein distance of street_name <= 1,0.06594043601799952,0.00015742468572657253
lev_abs,full,elevated,split,abbreviate,1,Levenshtein distance of street_name <= 2,0.03712070172889746,0.0004266027106146272
lev_abs,full,elevated,split,abbreviate,1,All other comparisons,0.03870218690759811,0.9981919400985936
lev_abs,full,elevated,split,abbreviate,2,Exact match on street_name,0.8609653769043402,0.0011765338568607865
lev_abs,full,elevated,split,abbreviate,2,Levenshtein distance of street_name <= 1,0.06401491910598847,0.00013540236076247896
lev_abs,full,elevated,split,abbreviate,2,Levenshtein distance of street_name <= 2,0.03687888544816363,0.0003926030774384594
lev_abs,full,elevated,split,abbreviate,2,All other comparisons,0.03814081854150768,0.9982954607049382
lev_abs,full,elevated,split,expand,0,Exact match on street_name,0.8597395929451876,0.0012123943594068072
lev_abs,full,elevated,split,expand,0,Levenshtein distance of street_name <= 1,0.062318062655812835,0.00011902256004828054
lev_abs,full,elevated,split,expand,0,Levenshtein distance of street_name <= 2,0.03505475456935063,0.0002651641844113592
lev_abs,full,elevated,split,expand,0,All other comparisons,0.042887589829648964,0.9984034188961336
lev_abs,full,elevated,split,expand,1,Exact match on street_name,0.8583257730399623,0.0011317338162064282
lev_abs,full,elevated,split,expand,1,Levenshtein distance of street_name <= 1,0.06477841627761753,0.00012290321985952162
lev_abs,full,elevated,split,expand,1,Levenshtein distance of street_name <= 2,0.03420720651566163,0.0003258983713274982
lev_abs,full,elevated,split,expand,1,All other comparisons,0.04268860416675857,0.9984194645926066
lev_abs,full,elevated,split,expand,2,Exact match on street_name,0.8609557214398034,0.0011193472357245268
lev_abs,full,elevated,split,expand,2,Levenshtein distance of street_name <= 1,0.06251223160078129,0.00012227992953112935
lev_abs,full,elevated,split,expand,2,Levenshtein distance of street_name <= 2,0.031829104614126635,0.00029355281096049264
lev_abs,full,elevated,split,expand,2,All other comparisons,0.04470294234528861,0.9984648200237839
lev_abs,address_heavy,elevated,split,none,0,Exact match on street_name,0.13065491423303888,6.0000277525713634e-05
lev_abs,address_heavy,elevated,split,none,0,Levenshtein distance of street_name <= 1,0.020270898032646503,1.87623017669984e-05
lev_abs,address_heavy,elevated,split,none,0,Levenshtein distance of street_name <= 2,0.16079263292705193,8.697108631577384e-05
lev_abs,address_heavy,elevated,split,none,0,All other comparisons,0.6882815548072626,0.9998342663343915
