model,noise,regime,treatment,rep,level,m,u
address_heavy,elevated,consistent,none,2,Exact match on street_name,0.8609019495822767,0.0011025299600532622
address_heavy,elevated,consistent,none,2,Jaro-Winkler distance of street_name >= 0.92,0.09702818541220937,0.0002463875326724861
address_heavy,elevated,consistent,none,2,Jaro-Winkler distance of street_name >= 0.7,0.04154978152874439,0.013239039305617201
address_heavy,elevated,consistent,none,2,All other comparisons,0.0005200834767695635,0.9854120432016571
address_heavy,elevated,consistent,abbreviate,0,Exact match on street_name,0.8596372116598703,0.0012816587726091212
address_heavy,elevated,consistent,abbreviate,0,Jaro-Winkler distance of street_name >= 0.92,0.0897072339030428,0.0002949516051250343
address_heavy,elevated,consistent,abbreviate,0,Jaro-Winkler distance of street_name >= 0.7,0.04891647102013927,0.014083638990441088
address_heavy,elevated,consistent,abbreviate,0,All other comparisons,0.0017390834169477096,0.9843397506318248
address_heavy,elevated,consistent,abbreviate,1,Exact match on street_name,0.8580503869605081,0.0012950331735910483
address_heavy,elevated,consistent,abbreviate,1,Jaro-Winkler distance of street_name >= 0.92,0.09610892467851923,0.00022071407270648257
address_heavy,elevated,consistent,abbreviate,1,Jaro-Winkler distance of street_name >= 0.7,0.044887515647012474,0.014747005069585714
address_heavy,elevated,consistent,abbreviate,1,All other comparisons,0.000953172713960208,0.9837372476841167
address_heavy,elevated,consistent,abbreviate,2,Exact match on street_name,0.8610077872923279,0.0011651490272179927
address_heavy,elevated,consistent,abbreviate,2,Jaro-Winkler distance of street_name >= 0.92,0.09271718366205611,0.00028740608050952876
address_heavy,elevated,consistent,abbreviate,2,Jaro-Winkler distance of street_name >= 0.7,0.04569794452783919,0.014453301487784247
address_heavy,elevated,consistent,abbreviate,2,All other comparisons,0.0005770845177767263,0.9840941434044882
address_heavy,elevated,consistent,expand,0,Exact match on street_name,0.8596326918605457,0.0012228194972112199
address_heavy,elevated,consistent,expand,0,Jaro-Winkler distance of street_name >= 0.92,0.08966010032817337,0.00030838250747716435
address_heavy,elevated,consistent,expand,0,Jaro-Winkler distance of street_name >= 0.7,0.049121203205108155,0.028612076630830166
address_heavy,elevated,consistent,expand,0,All other comparisons,0.0015860046061727182,0.9698567213644814
address_heavy,elevated,consistent,expand,1,Exact match on street_name,0.8580299214932041,0.0014482463781192107
address_heavy,elevated,consistent,expand,1,Jaro-Winkler distance of street_name >= 0.92,0.09217601677694105,0.0003008220642759991
address_heavy,elevated,consistent,expand,1,Jaro-Winkler distance of street_name >= 0.7,0.04848402597329918,0.028339040590530367
address_heavy,elevated,consistent,expand,1,All other comparisons,0.0013100357565556948,0.9699118909670744
address_heavy,elevated,consistent,expand,2,Exact match on street_name,0.8609330474106762,0.00110476166787921
address_heavy,elevated,consistent,expand,2,Jaro-Winkler distance of street_name >= 0.92,0.0901387318416598,0.00028665767104633157
address_heavy,elevated,consistent,expand,2,Jaro-Winkler distance of street_name >= 0.7,0.047355164646437714,0.028471552905233004
address_heavy,elevated,consistent,expand,2,All other comparisons,0.0015730561012262912,0.9701370277558414
address_heavy,elevated,split,none,0,Exact match on street_name,0.13065906991274104,5.435658230837936e-05
address_heavy,elevated,split,none,0,Jaro-Winkler distance of street_name >= 0.92,0.7670677329229831,0.0012087496109007237
address_heavy,elevated,split,none,0,Jaro-Winkler distance of street_name >= 0.7,0.09959094666647375,0.008559793022648315
address_heavy,elevated,split,none,0,All other comparisons,0.0026822504978020944,0.9901771007841426
address_heavy,elevated,split,none,1,Exact match on street_name,0.1275123158142597,4.4939150740753875e-05
address_heavy,elevated,split,none,1,Jaro-Winkler distance of street_name >= 0.92,0.7697377396090636,0.0011842909220441788
address_heavy,elevated,split,none,1,Jaro-Winkler distance of street_name >= 0.7,0.09986115424898237,0.00835332232255426
address_heavy,elevated,split,none,1,All other comparisons,0.0028887903276943877,0.9904174476046608
address_heavy,elevated,split,none,2,Exact match on street_name,0.13013536979198193,5.1030822616860586e-05
address_heavy,elevated,split,none,2,Jaro-Winkler distance of street_name >= 0.92,0.7659252138949384,0.0012700090209325143
address_heavy,elevated,split,none,2,Jaro-Winkler distance of street_name >= 0.7,0.10136716297465803,0.008632028261198797
address_heavy,elevated,split,none,2,All other comparisons,0.00257225333842166,0.9900469318952518
address_heavy,elevated,split,abbreviate,0,Exact match on street_name,0.859638146008977,0.0010712111044454342
address_heavy,elevated,split,abbreviate,0,Jaro-Winkler distance of street_name >= 0.92,0.08970751338501325,0.00027685051258238553
address_heavy,elevated,split,abbreviate,0,Jaro-Winkler distance of street_name >= 0.7,0.04891358032243094,0.01412121635928899
address_heavy,elevated,split,abbreviate,0,All other comparisons,0.0017407602835787604,0.9845307220236832
address_heavy,elevated,split,abbreviate,1,Exact match on street_name,0.8580423804355506,0.0010977805715831983
address_heavy,elevated,split,abbreviate,1,Jaro-Winkler distance of street_name >= 0.92,0.09610709203188708,0.00025729529062206173
address_heavy,elevated,split,abbreviate,1,Jaro-Winkler distance of street_name >= 0.7,0.04489465943061874,0.014023163417094288
address_heavy,elevated,split,abbreviate,1,All other comparisons,0.0009558681019435784,0.9846217607207004
address_heavy,elevated,split,abbreviate,2,Exact match on street_name,0.8610026694716011,0.0011805221544855104
address_heavy,elevated,split,abbreviate,2,Jaro-Winkler distance of street_name >= 0.92,0.09271841211207135,0.0002278512403874024
address_heavy,elevated,split,abbreviate,2,Jaro-Winkler distance of street_name >= 0.7,0.045702345066682665,0.013714117378533964
address_heavy,elevated,split,abbreviate,2,All other comparisons,0.0005765733496449079,0.9848775092265931
address_heavy,elevated,split,expand,0,Exact match on street_name,0.8596303958742654,0.0011343770887963392
address_heavy,elevated,split,expand,0,Jaro-Winkler distance of street_name >= 0.92,0.0896602595675518,0.00026286698544912334
address_heavy,elevated,split,expand,0,Jaro-Winkler distance of street_name >= 0.7,0.04912333974176229,0.02830201210002228
address_heavy,elevated,split,expand,0,All other comparisons,0.0015860048164205434,0.9703007438257323
address_heavy,elevated,split,expand,1,Exact match on street_name,0.858023607764907,0.0011182586596162694
address_heavy,elevated,split,expand,1,Jaro-Winkler distance of street_name >= 0.92,0.09217593197622896,0.00028022798679560825
address_heavy,elevated,split,expand,1,Jaro-Winkler distance of street_name >= 0.7,0.048482949754217915,0.029002269989562374
address_heavy,elevated,split,expand,1,All other comparisons,0.0013175105046459787,0.9695992433640257
address_heavy,elevated,split,expand,2,Exact match on street_name,0.8609310814167376,0.0010271148346462154
address_heavy,elevated,split,expand,2,Jaro-Winkler distance of street_name >= 0.92,0.09013841536028161,0.0002891266489592849
address_heavy,elevated,split,expand,2,Jaro-Winkler distance of street_name >= 0.7,0.04735490354363053,0.028810148475420443
address_heavy,elevated,split,expand,2,All other comparisons,0.0015755996793502718,0.969873610040974
