scenario,noise_type,sigma,variable,realization,cp_time,delay,is_delay,tau_var_bp,tau_ac_bp,tau_var_cp,tau_ac_cp
MN low,multiplicative,0.05,I,125,91.625,77.12874815310283,True,-0.43809047857023864,0.13374741200828152,0.6708693272411412,-0.52855952975893
MN low,multiplicative,0.05,I,126,100.04,85.54374815310284,True,-0.7411161086123603,-0.47871016872516114,0.6183679588777039,-0.3197020537350372
MN low,multiplicative,0.05,I,127,100.935,86.43874815310284,True,-0.8427681397396538,-0.4255177173318102,0.9451531377168557,0.7539230384807595
MN low,multiplicative,0.05,I,128,103.07000000000001,88.57374815310284,True,-0.11847885581019012,0.27423907094072003,-0.1294885890388139,-0.6637471740320315
MN low,multiplicative,0.05,I,129,92.59,78.09374815310284,True,0.47176126222602977,0.6714975845410627,0.8492734585088407,-0.6737555032007805
MN low,multiplicative,0.05,I,130,102.56,88.06374815310284,True,-0.06299421717712571,0.4687170700364103,0.7679655410390042,0.5063325480117083
MN low,multiplicative,0.05,I,131,87.08500000000001,72.58874815310284,True,0.5772723162228408,0.5235182408795601,0.915071035910616,-0.31823992765521997
MN low,multiplicative,0.05,I,132,68.09,53.59374815310284,True,0.7143847124057018,0.6466928440541634,0.8411004021798624,-0.11151281502106088
MN low,multiplicative,0.05,I,133,107.385,92.88874815310284,True,0.24928392946383945,0.3442764332119654,0.9561228909354844,0.6526917493634135
MN low,multiplicative,0.05,I,134,77.565,63.06874815310283,True,-0.4372185335903476,0.26482092287189735,0.6568572856428927,-0.5097060993312866
MN low,multiplicative,0.05,I,135,88.03,73.53374815310283,True,-0.8350196330406223,-0.6280240831964968,0.45203588681849544,-0.6462206991742222
MN low,multiplicative,0.05,I,136,90.785,76.28874815310283,True,-0.6088241593488968,-0.3415292353823088,0.8976054829727992,-0.5919430760810069
MN low,multiplicative,0.05,I,137,96.86,82.36374815310283,True,0.30776706884652905,0.695495109588063,0.9414578425073176,0.12385902286951761
MN low,multiplicative,0.05,I,138,104.94,90.44374815310283,True,-0.6943471121582065,-0.557143333095357,-0.6332881178458388,-0.7514842578710643
MN low,multiplicative,0.05,I,139,93.07000000000001,78.57374815310284,True,-0.6718726351110158,0.4006901311249137,0.9727145950834105,0.23341757692582274
MN low,multiplicative,0.05,I,140,110.45,95.95374815310284,True,0.18230408605221196,0.5447476261869064,0.9245158373194353,0.378183289307727
MN low,multiplicative,0.05,I,141,103.265,88.76874815310283,True,0.16824254539396966,0.7634573189595677,0.9684843292639392,0.28122224601984713
MN low,multiplicative,0.05,I,142,114.145,99.64874815310283,True,-0.7933775969158277,-0.6675871588015515,-0.1352495180980938,-0.5914994883510625
MN low,multiplicative,0.05,I,143,100.93,86.43374815310284,True,-0.7089664691463791,-0.10162252207229716,0.9532671759358414,-0.5515004402560624
MN low,multiplicative,0.05,I,144,99.85000000000001,85.35374815310284,True,0.42737202827157844,0.7599048095000118,0.9466000333166749,0.3731610385283548
MN low,multiplicative,0.05,I,145,86.9,72.40374815310284,True,-0.7088731824563906,-0.30513790723685774,0.9749325337331333,-0.1520525451559934
MN low,multiplicative,0.05,I,146,69.72500000000001,55.22874815310284,True,0.34238214226220215,0.4598415078175197,0.7015016301373121,-0.2501825277837271
MN low,multiplicative,0.05,I,147,93.72,79.22374815310283,True,-0.3850560434068679,-0.17170938340353628,0.7024935151471883,-0.7825106494371861
MN low,multiplicative,0.05,I,148,87.42,72.92374815310284,True,-0.8600090430974987,-0.24586468670426687,0.3365450608029318,-0.629151138716356
MN low,multiplicative,0.05,I,149,78.165,63.66874815310284,True,-0.8136265200732966,-0.3359720139930034,0.9498288950762712,-0.2199500249875062
MN low,multiplicative,0.05,I,150,105.92,91.42374815310284,True,-0.5503638656862043,-0.33705908950286756,0.9801470693224815,0.6676042930915493
MN low,multiplicative,0.05,I,151,83.2,68.70374815310284,True,-0.6186135503676732,-0.5037928654720258,0.9380595416577424,-0.0754375193355703
MN low,multiplicative,0.05,I,152,106.13,91.63374815310283,True,-0.5003450655624567,0.43569738940053776,0.9375550320078054,0.1573870207753266
MN low,multiplicative,0.05,I,153,85.08500000000001,70.58874815310284,True,-0.18753765974155776,-0.052285285928464334,0.910838866281145,-0.431743176031032
MN low,multiplicative,0.05,I,154,92.755,78.25874815310283,True,-0.6160205611479973,-0.4667923181266509,0.8402741486399656,0.20501463553937313
