# 0.1.0+578d682 (2026-08-12)
replicate	draw	t	S	E	I	R	Dead	flow_infection	flow_onset	flow_recovery	flow_death
1289	1289	24	162	9	8	2	0	0	1	1	0
1289	1289	25	158	12	8	2	1	4	1	0	1
1289	1289	26	157	13	8	2	1	1	0	0	0
1289	1289	27	155	14	8	3	1	2	1	1	0
1289	1289	28	155	11	10	3	2	0	3	0	1
1289	1289	29	153	13	10	3	2	2	0	0	0
1289	1289	30	153	10	13	3	2	0	3	0	0
1289	1289	31	153	10	13	3	2	0	0	0	0
1289	1289	32	151	12	13	3	2	2	0	0	0
1289	1289	33	148	15	12	3	3	3	0	0	1
1289	1289	34	146	15	14	3	3	2	2	0	0
1289	1289	35	143	16	16	3	3	3	2	0	0
1289	1289	36	141	17	17	3	3	2	1	0	0
1289	1289	37	137	19	18	3	4	4	2	0	1
1290	1290	0	177	4	0	0	0	0	0	0	0
1290	1290	1	177	4	0	0	0	0	0	0	0
1290	1290	2	177	2	2	0	0	0	2	0	0
1290	1290	3	177	2	2	0	0	0	0	0	0
1290	1290	4	175	4	2	0	0	2	0	0	0
1290	1290	5	175	2	4	0	0	0	2	0	0
1290	1290	6	173	4	3	1	0	2	0	1	0
1290	1290	7	173	4	3	1	0	0	0	0	0
1290	1290	8	172	5	2	2	0	1	0	1	0
1290	1290	9	171	5	3	2	0	1	1	0	0
1290	1290	10	170	6	2	2	1	1	0	0	1
1290	1290	11	169	6	3	2	1	1	1	0	0
1290	1290	12	169	4	5	2	1	0	2	0	0
1290	1290	13	169	4	4	3	1	0	0	1	0
1290	1290	14	169	3	5	3	1	0	1	0	0
1290	1290	15	167	5	4	4	1	2	0	1	0
1290	1290	16	167	4	4	4	2	0	1	0	1
1290	1290	17	166	5	4	4	2	1	0	0	0
1290	1290	18	166	5	4	4	2	0	0	0	0
1290	1290	19	164	5	5	4	3	2	2	0	1
1290	1290	20	162	6	6	4	3	2	1	0	0
1290	1290	21	160	8	5	5	3	2	0	1	0
1290	1290	22	160	8	5	5	3	0	0	0	0
1290	1290	23	160	8	5	5	3	0	0	0	0
1290	1290	24	159	7	7	5	3	1	2	0	0
1290	1290	25	154	11	7	5	4	5	1	0	1
1290	1290	26	154	9	6	5	7	0	2	0	3
1290	1290	27	152	8	8	5	8	2	3	0	1
1290	1290	28	149	9	9	6	8	3	2	1	0
1290	1290	29	147	10	9	7	8	2	1	1	0
1290	1290	30	144	9	12	8	8	3	4	1	0
1290	1290	31	142	9	12	8	10	2	2	0	2
1290	1290	32	140	11	11	8	11	2	0	0	1
1290	1290	33	138	11	11	9	12	2	2	1	1
1290	1290	34	137	10	13	9	12	1	2	0	0
1290	1290	35	133	12	13	9	14	4	2	0	2
1290	1290	36	131	12	15	9	14	2	2	0	0
1290	1290	37	128	12	17	9	15	3	3	0	1
1291	1291	0	179	2	0	0	0	0	0	0	0
1291	1291	1	179	2	0	0	0	0	0	0	0
1291	1291	2	179	2	0	0	0	0	0	0	0
1291	1291	3	179	2	0	0	0	0	0	0	0
1291	1291	4	179	2	0	0	0	0	0	0	0
1291	1291	5	179	2	0	0	0	0	0	0	0
1291	1291	6	179	2	0	0	0	0	0	0	0
1291	1291	7	179	2	0	0	0	0	0	0	0
1291	1291	8	179	1	1	0	0	0	1	0	0
1291	1291	9	178	2	1	0	0	1	0	0	0
1291	1291	10	178	2	1	0	0	0	0	0	0
1291	1291	11	178	2	1	0	0	0	0	0	0
1291	1291	12	178	2	1	0	0	0	0	0	0
1291	1291	13	178	2	1	0	0	0	0	0	0
1291	1291	14	178	2	1	0	0	0	0	0	0
1291	1291	15	178	2	1	0	0	0	0	0	0
1291	1291	16	178	2	1	0	0	0	0	0	0
1291	1291	17	177	3	0	0	1	1	0	0	1
1291	1291	18	177	3	0	0	1	0	0	0	0
1291	1291	19	177	3	0	0	1	0	0	0	0
1291	1291	20	177	3	0	0	1	0	0	0	0
1291	1291	21	177	3	0	0	1	0	0	0	0
1291	1291	22	177	2	1	0	1	0	1	0	0
1291	1291	23	177	2	0	1	1	0	0	1	0
1291	1291	24	177	2	0	1	1	0	0	0	0
1291	1291	25	177	2	0	1	1	0	0	0	0
1291	1291	26	177	2	0	1	1	0	0	0	0
1291	1291	27	177	2	0	1	1	0	0	0	0
1291	1291	28	177	2	0	1	1	0	0	0	0
1291	1291	29	177	2	0	1	1	0	0	0	0
1291	1291	30	177	2	0	1	1	0	0	0	0
1291	1291	31	177	2	0	1	1	0	0	0	0
1291	1291	32	177	2	0	1	1	0	0	0	0
1291	1291	33	177	2	0	1	1	0	0	0	0
1291	1291	34	177	1	1	1	1	0	1	0	0
1291	1291	35	177	1	1	1	1	0	0	0	0
1291	1291	36	177	1	0	1	2	0	0	0	1
1291	1291	37	177	1	0	1	2	0	0	0	0
1292	1292	0	179	2	0	0	0	0	0	0	0
1292	1292	1	179	2	0	0	0	0	0	0	0
1292	1292	2	179	2	0	0	0	0	0	0	0
1292	1292	3	179	2	0	0	0	0	0	0	0
1292	1292	4	179	2	0	0	0	0	0	0	0
1292	1292	5	179	2	0	0	0	0	0	0	0
1292	1292	6	179	2	0	0	0	0	0	0	0
1292	1292	7	179	2	0	0	0	0	0	0	0
1292	1292	8	179	1	1	0	0	0	1	0	0
1292	1292	9	176	4	1	0	0	3	0	0	0
1292	1292	10	176	4	1	0	0	0	0	0	0
1292	1292	11	176	4	1	0	0	0	0	0	0
1292	1292	12	176	4	1	0	0	0	0	0	0
1292	1292	13	176	4	1	0	0	0	0	0	0
1292	1292	14	176	3	2	0	0	0	1	0	0
1292	1292	15	176	3	2	0	0	0	0	0	0
1292	1292	16	176	3	1	0	1	0	0	0	1
1292	1292	17	176	3	1	0	1	0	0	0	0
1292	1292	18	176	2	2	0	1	0	1	0	0
1292	1292	19	175	3	2	0	1	1	0	0	0
1292	1292	20	174	4	1	1	1	1	0	1	0
1292	1292	21	173	4	2	1	1	1	1	0	0
1292	1292	22	173	4	2	1	1	0	0	0	0
1292	1292	23	173	4	2	1	1	0	0	0	0
1292	1292	24	173	4	2	1	1	0	0	0	0
1292	1292	25	172	5	2	1	1	1	0	0	0
1292	1292	26	172	5	2	1	1	0	0	0	0
1292	1292	27	171	6	0	2	2	1	0	1	1
1292	1292	28	171	6	0	2	2	0	0	0	0
1292	1292	29	171	5	1	2	2	0	1	0	0
1292	1292	30	171	5	1	2	2	0	0	0	0
1292	1292	31	171	3	3	2	2	0	2	0	0
1292	1292	32	171	3	2	3	2	0	0	1	0
1292	1292	33	171	3	2	3	2	0	0	0	0
1292	1292	34	170	3	3	3	2	1	1	0	0
1292	1292	35	170	3	3	3	2	0	0	0	0
1292	1292	36	168	5	3	3	2	2	0	0	0
1292	1292	37	168	5	3	3	2	0	0	0	0
1293	1293	0	177	4	0	0	0	0	0	0	0
1293	1293	1	177	3	1	0	0	0	1	0	0
1293	1293	2	177	2	2	0	0	0	1	0	0
1293	1293	3	177	2	2	0	0	0	0	0	0
1293	1293	4	177	2	2	0	0	0	0	0	0
1293	1293	5	177	2	1	1	0	0	0	1	0
1293	1293	6	177	2	1	1	0	0	0	0	0
1293	1293	7	177	2	1	1	0	0	0	0	0
1293	1293	8	177	2	1	1	0	0	0	0	0
1293	1293	9	177	2	1	1	0	0	0	0	0
1293	1293	10	177	2	1	1	0	0	0	0	0
1293	1293	11	177	1	2	1	0	0	1	0	0
1293	1293	12	177	1	2	1	0	0	0	0	0
1293	1293	13	176	2	2	1	0	1	0	0	0
1293	1293	14	176	2	2	1	0	0	0	0	0
1293	1293	15	176	2	2	1	0	0	0	0	0
1293	1293	16	176	2	2	1	0	0	0	0	0
1293	1293	17	176	2	2	1	0	0	0	0	0
1293	1293	18	176	1	2	1	1	0	1	0	1
1293	1293	19	176	1	2	1	1	0	0	0	0
1293	1293	20	176	1	1	1	2	0	0	0	1
1293	1293	21	175	2	1	1	2	1	0	0	0
1293	1293	22	175	2	1	1	2	0	0	0	0
1293	1293	23	175	2	1	1	2	0	0	0	0
1293	1293	24	175	2	1	1	2	0	0	0	0
