beta	z_lat	d_inf	delta	e0	R0
0.3790195000922527	23.77030726831367	8.692166224201797	0.3757252572667332	1.5074088840991855	3.294500497015729
0.2964250185055945	20.154657435471368	13.727608589586191	0.4167400837590399	1.7690374182717363	4.069206630205644
0.28922044475718783	18.037441729965376	12.57402387395903	0.43003531011923973	2.166894249074191	3.6366647772139284
0.1813027940267642	28.857243120371535	9.278412524525615	0.35636735173803324	3.452577469282633	1.6822021148294168
0.2137439617497092	21.872278377837834	9.363981974196609	0.4077700659583989	3.8392823173867465	2.0014946049176463
0.21377495643618913	19.597360090233355	7.528471961869138	0.37878609339770813	4.24691328351809	1.6093987656796462
0.15052008939803305	18.10760710272253	9.439594397598665	0.4794573953631225	4.03565951851875	1.420848592607723
0.2983517295069884	15.490198047424574	11.265655445260029	0.4810547122452892	2.435297382998664	3.361127786123151
0.14493755720060103	16.390489718200104	12.996281995876966	0.4399934868242511	1.6052572862420524	1.8836493651725592
0.24487742079033956	15.128000594893985	10.973167968438831	0.33665940351763146	1.9305884618300488	2.6870810700104713
0.4272193417896474	21.7743615999722	8.681902338366047	0.31050324641917465	1.3410735966248073	3.709076602478743
0.3083247889461008	24.924005109283986	10.363244521541668	0.4586756111667817	2.606559349931175	3.1952451799011707
0.40249731565988855	22.948923296001784	12.496447401119124	0.42078160461178704	2.6583332804163655	5.029786534235438
0.296422666995804	14.860646590892566	12.965171762289064	0.3076684576285892	2.5547301396562583	3.843170791836412
0.35795619565319675	18.77612105854144	13.321986340658931	0.392643062699616	1.94590541702858	4.768687549046123
0.24116676385838873	14.684868829051048	11.533253510833012	0.4162478488612159	1.647555860158193	2.7814374259659975
0.26160371816805483	21.56489194081364	8.962698283237343	0.45142750735610104	3.3901682956006884	2.3446751957133305
0.302862969465052	21.317020814892295	7.435867202303709	0.38327790525499783	2.9567079489971673	2.25204882143749
0.290182574500905	23.241306780370167	8.050928456652697	0.34826078951263567	3.9575746133983536	2.3362391466740773
0.3870701059084544	24.60416334959625	8.548815657837904	0.31956754892002626	1.7628277590752126	3.308990982071171
