beta	z_lat	d_inf	delta	e0_extra	R0
0.3641313342283885	18.526973716224287	8.441309483356944	0.38457673490158567	0.6245155446502539	3.073745284809513
0.2520089746535405	14.996549944900352	8.067908789603907	0.37596456582908017	0.7281063128160428	2.0331854216663676
0.2520251501852331	14.25765373409596	10.577344081664906	0.34770981407050944	0.9355158057772415	2.6657567307424843
0.38908174939821216	18.448453010905823	13.23340885617132	0.49866439713334326	2.8932134060369568	5.14887786826093
0.4306819656831321	20.356565501980143	12.492335736159408	0.49383599097353104	3.5269046322224775	5.380223710822771
0.42185716181713967	17.56032597063764	11.444365324902355	0.4862947628105784	1.468956510595552	4.827887474761795
0.27181470495206345	22.690197483437217	10.502705421064716	0.4564428290546674	2.840397681749261	2.854789775225143
0.29682274577239676	19.11624040521316	7.828909524295698	0.4818880662656714	2.4158966781066784	2.3237984214051175
0.1714152532280285	19.59708019387097	10.898233153840955	0.3639140530098108	1.472504376621377	1.868123395803743
0.4698210339517598	19.74013054076511	10.459922106140311	0.4671833520248375	0.8818789969284235	4.91429141896171
0.21696046086878187	19.60021230082751	13.953714970622052	0.3504025609209196	1.1355109702841213	3.0274044308577817
0.3055993300516355	20.55409484675162	12.171598204495519	0.3790675626247689	0.29208666919521925	3.71963225695152
0.28103635453024206	26.47821778911445	13.193589027065244	0.3839847735430115	0.28011560464720414	3.7078781633366193
0.2164917775273457	23.6507683552112	13.907823250053523	0.38347460219949353	0.671353763872406	3.010929376940233
0.20951383992309	15.74337571951189	8.199118389569959	0.32272324381176487	2.0098000589859235	1.7178287777828238
0.4902516531272315	23.035110033704807	10.18714131031712	0.49675499797817774	0.9283303032506589	4.99426286802368
0.2793777969788596	15.56862458479383	7.855293949397616	0.41002848759333976	3.63164053270856	2.1945947182040717
0.33212783622225706	16.07340315996991	8.3871332476608	0.46800380332198416	2.80286523606189	2.7856004176533333
0.38141631595307535	13.734021539382804	8.196231485966516	0.4517273308265612	2.1678243794298897	3.126176418075949
0.3017241593640741	17.584071918568778	8.33915728455937	0.3194162365875906	1.938582454215008	2.516125221488471
0.3404613649910582	25.280590392313837	9.370469814035614	0.3569620835120315	1.5351514469461063	3.1902829434940725
0.34278495569534007	22.93368936092106	12.139016542214716	0.4617158426633941	3.114575603516613	4.161072247608072
0.4254625395973776	27.122491945694335	11.752830590325823	0.417908203349204	3.4167162158705593	5.000389150417772
0.45734967363039086	22.784801530367375	13.174601539614033	0.48019068766408135	1.3434768014589284	6.025399714352923
0.48166562091590126	23.868486152269444	13.739582471114144	0.4563865956622537	1.1283513514095502	6.617884522074427
0.3751774955315512	21.12325441956705	9.601351659310755	0.33395343459950183	0.7320000419887803	3.6022110692579123
0.24882076390242217	23.71174836457294	12.175612529773725	0.46229256204808167	3.014980564358689	3.029545210638201
0.1339931569631451	23.959709779477436	13.831792175684923	0.35451943841228367	1.3719103604334872	1.853365500078152
0.14100182048761656	16.30101763024729	11.335323894646445	0.31753148520228247	0.7753815303348554	1.5983013049619286
0.10961575210722188	17.311582374376407	10.86130256581156	0.3158717315792613	0.9739963913101488	1.1905698496155328
0.22153519578879813	14.662409609952464	7.437388934395433	0.39096165730687055	0.9078772100375635	1.647643413738733
0.3178081431352368	17.501682549443963	7.656593201941056	0.3712076883003372	1.912638523760976	2.4333276682507643
0.36977011367589824	22.998380526685295	7.339326037131412	0.47110127711927535	1.8978329928408155	2.713863423054562
0.4007601441801524	20.63930822093612	7.671700276923352	0.37598397351415713	2.2322083305452227	3.0745117090867176
0.2849465853663178	21.618261195575545	8.084906286930835	0.3690310505255932	3.9267711227852935	2.3037664394676165
0.2985162795463682	22.93632267716717	7.746975204488349	0.3815059777359237	3.2809470075894684	2.312598215781827
0.4141504578277088	26.815523395146588	9.253911709945251	0.4746527288468745	2.5408004944457505	3.8325117713710215
0.26674105013078886	17.91109639049631	11.450620562132448	0.46144825938854334	1.0870190948772431	3.054350553392413
0.243238243892807	21.08069356460744	11.691425494885616	0.38778961471413614	2.727414959610533	2.843801805979569
0.32778642466497343	21.635503754576384	11.736288724980943	0.3942684092561504	3.2623876966685272	3.846996119997343
0.3157821034002371	19.00631231813406	12.05029330981136	0.35121642455823243	2.1015096450980173	3.8052669679620363
0.23286029415074605	19.310786542096075	11.814462653104291	0.32660639869432173	2.6876205268236326	2.751119248634869
0.36864242946685527	24.695951111033946	12.311694909165634	0.3104184679274041	0.9815089105188352	4.538613122169534
0.4096885263414396	26.125362999082785	12.495471964794444	0.4255733735421927	2.2199500774547567	5.119251495197409
0.2948472778106333	26.142703022604717	13.149934472839192	0.36959980394538633	3.3956501281356664	3.877222382704841
0.1371702668558782	18.9462707486494	13.027956921701476	0.32355176707231326	3.042581306707009	1.7870483275366766
0.20442574391494364	19.950451651452447	11.953478851769669	0.36132805154379977	1.040067165472791	2.4435988066445606
0.20588537747576563	21.704889797018204	13.82971442374184	0.36851832797938994	1.776689826810054	2.8473359745141296
0.3245200079521805	16.211924518993623	10.548050092174979	0.48806738366283353	1.0300776328228984	3.423053299792622
0.24781603308253627	21.79032384434837	11.846969160939404	0.4913600433132997	2.510178827830551	2.9358689015151462
0.25455345465296864	20.216872767601007	12.636042484802484	0.48229927062750955	2.140689534051152	3.2165482676481543
0.3656864003021528	22.129450750642235	12.572048380956623	0.4920971422457493	2.0848654717443447	4.597427116856536
0.1286519470057232	24.799969089859967	12.349910325074203	0.30194333669875434	1.3177320487265678	1.5888400086668801
0.14979135997823143	22.822192173931132	12.637438523773678	0.3041216921080723	2.7955124312339583	1.8929791031173526
0.14234305512657655	19.016888226812473	11.867683677795789	0.3014135793555011	2.8163741974115166	1.6892823519732587
0.17659417378930395	17.592923913019618	13.022329373704416	0.3028316135024636	2.051331945581941	2.2996674965615154
0.41345720361875	23.173493487527004	11.920127988021513	0.3787656050038219	1.570584243806868	4.928462784704971
0.40769388187113265	23.277833084235052	12.032206335792363	0.4876542276422261	1.8832307208980792	4.905456908513625
0.2815125469584937	21.34927372412856	13.15927424672636	0.36172658281579584	1.5999845620004327	3.7045008093212513
