chain	draw	a0	beta	d_home	h0	i0	d_school
0	3005	1.4747	5.8096	2.3725	9.2293	0.8248	1.0
0	3010	1.7793	2.4886	3.1647	5.3611	0.4225	1.0
0	3015	1.3892	1.6094	3.664	11.7787	1.6208	1.0
0	3020	1.1191	1.7062	3.5076	4.7235	11.0148	1.0
0	3025	2.5263	0.4195	2.1383	9.8814	11.011	1.0
0	3030	0.9976	1.1327	2.3989	11.4017	4.8658	1.0
0	3035	2.0424	1.9227	2.359	2.6746	11.6122	1.0
0	3040	0.9482	4.0335	1.943	11.9263	8.6532	1.0
0	3045	2.8632	1.5204	1.4446	4.5446	10.5775	1.0
0	3050	2.0356	1.3686	1.9495	10.4117	11.0054	1.0
0	3055	1.4682	1.5941	3.278	8.4955	11.0054	1.0
0	3060	2.5826	0.9483	3.2909	0.391	4.2911	1.0
0	3065	1.108	1.7163	3.187	8.5354	5.0825	1.0
0	3070	1.852	0.514	2.9911	1.8043	6.6836	1.0
0	3075	1.852	1.5209	3.3808	6.3836	9.4859	1.0
0	3080	1.4988	0.6615	3.6711	4.0491	5.9476	1.0
0	3085	1.082	0.408	2.2077	11.437	9.1476	1.0
0	3090	1.8774	1.1176	3.0215	7.6913	11.4314	1.0
0	3095	2.2265	2.3804	2.2878	2.2826	7.2001	1.0
0	3100	2.0335	1.8631	2.2035	3.8342	5.5652	1.0
0	3105	1.5902	1.7752	2.9717	7.3559	8.5047	1.0
0	3110	0.722	0.5815	3.7572	7.9743	11.4393	1.0
0	3115	1.1786	1.1617	2.559	6.7068	5.2707	1.0
0	3120	1.1499	1.1617	3.2941	6.1227	6.0482	1.0
0	3125	1.5015	1.4696	3.5077	5.1698	4.9668	1.0
0	3130	3.0247	5.4144	2.5218	6.7943	0.8829	1.0
0	3135	2.237	9.198	2.5028	8.8861	3.0298	1.0
0	3140	2.752	7.2995	2.4459	10.7927	4.4882	1.0
0	3145	1.1414	4.261	3.1366	9.3662	10.8157	1.0
0	3150	1.72	3.4423	3.0059	11.254	6.3441	1.0
0	3155	2.8762	2.0732	2.2735	6.9506	4.7225	1.0
0	3160	2.8762	2.4354	2.5025	7.3758	8.573	1.0
0	3165	1.5773	1.6002	2.0145	6.8299	10.7739	1.0
0	3170	0.9749	0.7379	3.0902	2.6877	3.7974	1.0
0	3175	0.6714	2.0143	3.1543	11.0122	1.818	1.0
0	3180	1.3816	0.9407	3.3633	4.7239	9.3836	1.0
0	3185	2.3598	2.4857	3.3011	8.0228	4.749	1.0
0	3190	2.409	1.471	3.0737	8.9508	6.6628	1.0
0	3195	2.3244	3.359	3.0408	10.2312	5.6155	1.0
0	3200	3.6813	6.4947	1.7364	10.7734	7.6197	1.0
0	3205	2.3332	0.6769	2.9086	3.2235	5.3585	1.0
0	3210	1.0368	1.6187	3.0379	8.2119	8.4172	1.0
0	3215	1.8955	2.8282	3.4614	6.1626	0.5793	1.0
0	3220	1.6601	5.0459	2.6976	8.3772	3.5267	1.0
0	3225	1.9754	1.6702	2.1982	8.7085	8.6634	1.0
0	3230	2.5933	3.2117	2.1599	7.2117	8.6634	1.0
0	3235	2.0576	0.8072	4.0127	7.2117	0.6812	1.0
0	3240	0.9859	2.0735	4.1838	1.2103	1.5609	1.0
0	3245	1.4082	4.2027	2.8741	2.6435	6.839	1.0
0	3250	0.9075	3.9516	3.7057	5.2786	0.3754	1.0
0	3255	1.9193	2.6196	2.7041	10.8664	1.8821	1.0
0	3260	1.8289	2.2322	2.2594	7.1208	9.5012	1.0
0	3265	0.9377	1.2909	2.6587	6.3785	9.5012	1.0
0	3270	1.5054	1.6524	3.1905	6.8335	5.3695	1.0
0	3275	1.5703	1.2528	3.7286	11.1827	6.8393	1.0
0	3280	1.0804	0.4354	3.5777	7.057	6.8393	1.0
0	3285	0.832	0.7607	3.7748	11.2889	10.3989	1.0
0	3290	4.1243	0.4053	2.2358	10.8331	8.5942	1.0
0	3295	1.6338	1.1591	2.3752	10.8331	1.441	1.0
0	3300	1.8737	1.8196	3.9152	4.03	0.2128	1.0
0	3305	3.6043	1.2717	3.3619	3.5996	0.475	1.0
0	3310	2.4271	0.8289	3.3711	11.6278	3.1825	1.0
