decyear	cases	city
1944.7433264887063	304.0	liverpool
1944.7816563997262	429.0	liverpool
1944.8199863107461	447.0	liverpool
1944.858316221766	675.0	liverpool
1944.8966461327857	710.0	liverpool
1944.9349760438056	765.0	liverpool
1944.9733059548255	560.0	liverpool
1945.0116358658454	486.0	liverpool
1945.049965776865	471.0	liverpool
1945.088295687885	374.0	liverpool
1945.1266255989049	373.0	liverpool
1945.1649555099248	297.0	liverpool
1945.2032854209447	261.0	liverpool
1945.2416153319643	260.0	liverpool
1945.2799452429842	220.0	liverpool
1945.3182751540041	215.0	liverpool
1945.356605065024	183.0	liverpool
1945.3949349760437	155.0	liverpool
1945.4332648870636	124.0	liverpool
1945.4715947980835	92.0	liverpool
1945.5099247091034	81.0	liverpool
1945.5482546201233	58.0	liverpool
1945.586584531143	23.0	liverpool
1945.624914442163	29.0	liverpool
1945.6632443531828	68.0	liverpool
1945.7015742642027	34.0	liverpool
1945.7399041752224	43.0	liverpool
1945.7782340862423	42.0	liverpool
1945.8165639972622	54.0	liverpool
1945.854893908282	45.0	liverpool
1945.8932238193017	41.0	liverpool
1945.9315537303216	76.0	liverpool
1945.9698836413415	88.0	liverpool
1946.0082135523614	111.0	liverpool
1946.0465434633813	124.0	liverpool
1946.084873374401	148.0	liverpool
1946.123203285421	170.0	liverpool
1946.1615331964408	228.0	liverpool
1946.1998631074607	253.0	liverpool
1946.2381930184804	477.0	liverpool
1946.2765229295003	528.0	liverpool
1946.3148528405202	529.0	liverpool
1946.35318275154	406.0	liverpool
1946.39151266256	494.0	liverpool
1946.4298425735797	511.0	liverpool
1946.4681724845996	434.0	liverpool
1946.5065023956195	350.0	liverpool
1946.5448323066394	284.0	liverpool
1946.583162217659	144.0	liverpool
1946.621492128679	86.0	liverpool
1946.6598220396988	55.0	liverpool
1946.6981519507187	79.0	liverpool
1946.7364818617386	82.0	liverpool
1946.7748117727583	105.0	liverpool
1946.8131416837782	55.0	liverpool
1946.851471594798	84.0	liverpool
1946.889801505818	96.0	liverpool
1946.9281314168377	151.0	liverpool
1946.9664613278576	120.0	liverpool
1947.0047912388775	156.0	liverpool
1947.0431211498974	153.0	liverpool
1947.0814510609173	157.0	liverpool
1947.119780971937	185.0	liverpool
1947.1581108829569	221.0	liverpool
1947.1964407939768	230.0	liverpool
1947.2347707049967	345.0	liverpool
1947.2731006160163	245.0	liverpool
1947.3114305270362	264.0	liverpool
1947.3497604380561	421.0	liverpool
1947.388090349076	538.0	liverpool
1947.4264202600957	550.0	liverpool
1947.4647501711156	479.0	liverpool
1947.5030800821355	438.0	liverpool
1947.5414099931554	302.0	liverpool
1947.5797399041753	229.0	liverpool
1947.618069815195	148.0	liverpool
1947.6563997262149	45.0	liverpool
1947.6947296372348	41.0	liverpool
1947.7330595482547	38.0	liverpool
1947.7713894592744	49.0	liverpool
1947.8097193702943	39.0	liverpool
1947.8480492813142	30.0	liverpool
1947.886379192334	41.0	liverpool
1947.924709103354	75.0	liverpool
1947.9630390143736	62.0	liverpool
1948.0013689253935	96.0	liverpool
1948.0396988364134	105.0	liverpool
1948.0780287474333	143.0	liverpool
1948.116358658453	242.0	liverpool
1948.154688569473	495.0	liverpool
1948.1930184804928	564.0	liverpool
1948.2313483915127	794.0	liverpool
1948.2696783025326	860.0	liverpool
1948.3080082135523	806.0	liverpool
1948.3463381245722	863.0	liverpool
1948.384668035592	732.0	liverpool
1948.422997946612	563.0	liverpool
1948.4613278576317	346.0	liverpool
1948.4996577686516	184.0	liverpool
1948.5379876796715	127.0	liverpool
1948.5763175906914	96.0	liverpool
1948.6146475017113	88.0	liverpool
1948.652977412731	57.0	liverpool
1948.6913073237508	60.0	liverpool
1948.7296372347707	70.0	liverpool
1948.7679671457906	68.0	liverpool
1948.8062970568103	53.0	liverpool
1948.8446269678302	80.0	liverpool
1948.88295687885	110.0	liverpool
1948.92128678987	152.0	liverpool
1948.95961670089	102.0	liverpool
1948.9979466119096	151.0	liverpool
1949.0362765229295	126.0	liverpool
1949.0746064339494	82.0	liverpool
1949.1129363449693	183.0	liverpool
1949.151266255989	228.0	liverpool
1949.1895961670089	202.0	liverpool
1949.2279260780288	253.0	liverpool
1949.2662559890487	273.0	liverpool
1949.3045859000686	259.0	liverpool
1949.3429158110882	215.0	liverpool
1949.3812457221081	236.0	liverpool
1949.419575633128	313.0	liverpool
1949.457905544148	363.0	liverpool
1949.4962354551676	483.0	liverpool
1949.5345653661875	462.0	liverpool
1949.5728952772074	287.0	liverpool
1949.6112251882273	168.0	liverpool
1949.649555099247	136.0	liverpool
1949.6878850102669	112.0	liverpool
1949.7262149212868	125.0	liverpool
1949.7645448323067	134.0	liverpool
1949.8028747433266	141.0	liverpool
1949.8412046543463	176.0	liverpool
1949.8795345653662	165.0	liverpool
1949.917864476386	222.0	liverpool
1949.956194387406	271.0	liverpool
1949.9945242984256	495.0	liverpool
1950.0328542094455	576.0	liverpool
1950.0711841204654	725.0	liverpool
1950.1095140314853	888.0	liverpool
1950.1478439425052	1037.0	liverpool
1950.186173853525	895.0	liverpool
1950.2245037645448	838.0	liverpool
1950.2628336755647	683.0	liverpool
1950.3011635865846	494.0	liverpool
1950.3394934976043	446.0	liverpool
1950.3778234086242	363.0	liverpool
1950.416153319644	292.0	liverpool
1950.454483230664	244.0	liverpool
1950.4928131416839	173.0	liverpool
1950.5311430527036	171.0	liverpool
1950.5694729637235	138.0	liverpool
1950.6078028747434	102.0	liverpool
1950.6461327857633	66.0	liverpool
1950.684462696783	48.0	liverpool
1950.7227926078028	34.0	liverpool
1950.7611225188227	42.0	liverpool
1950.7994524298426	18.0	liverpool
1950.8377823408625	22.0	liverpool
1950.8761122518822	33.0	liverpool
1950.914442162902	31.0	liverpool
1950.952772073922	26.0	liverpool
1950.991101984942	23.0	liverpool
1951.0294318959616	40.0	liverpool
1951.0677618069815	76.0	liverpool
1951.1060917180014	103.0	liverpool
1951.1444216290213	155.0	liverpool
1951.182751540041	245.0	liverpool
1951.2210814510609	414.0	liverpool
1951.2594113620808	511.0	liverpool
1951.2977412731007	559.0	liverpool
1951.3360711841206	705.0	liverpool
1951.3744010951402	1069.0	liverpool
1951.4127310061601	1002.0	liverpool
1951.45106091718	898.0	liverpool
1951.4893908282	720.0	liverpool
1951.5277207392196	568.0	liverpool
1951.5660506502395	542.0	liverpool
1951.6043805612594	326.0	liverpool
1951.6427104722793	246.0	liverpool
1951.6810403832992	186.0	liverpool
1951.7193702943189	233.0	liverpool
1951.7577002053388	258.0	liverpool
1951.7960301163587	259.0	liverpool
1951.8343600273786	252.0	liverpool
1951.8726899383983	253.0	liverpool
1951.9110198494182	300.0	liverpool
1951.949349760438	326.0	liverpool
1951.987679671458	422.0	liverpool
1952.0260095824779	409.0	liverpool
1952.0643394934975	386.0	liverpool
1952.1026694045174	536.0	liverpool
1952.1409993155373	605.0	liverpool
1952.1793292265572	757.0	liverpool
1952.217659137577	689.0	liverpool
1952.2559890485968	566.0	liverpool
1952.2943189596167	548.0	liverpool
1952.3326488706366	474.0	liverpool
1952.3709787816565	559.0	liverpool
1952.4093086926762	623.0	liverpool
1952.447638603696	671.0	liverpool
1952.485968514716	422.0	liverpool
1952.5242984257359	364.0	liverpool
1952.5626283367556	233.0	liverpool
1952.6009582477755	96.0	liverpool
1952.6392881587954	67.0	liverpool
1952.6776180698153	32.0	liverpool
1952.7159479808352	34.0	liverpool
1952.7542778918548	63.0	liverpool
1952.7926078028747	58.0	liverpool
1952.8309377138946	48.0	liverpool
1952.8692676249145	53.0	liverpool
1952.9075975359342	70.0	liverpool
1952.945927446954	77.0	liverpool
1952.984257357974	95.0	liverpool
1953.022587268994	125.0	liverpool
1953.0609171800138	123.0	liverpool
1953.0992470910335	194.0	liverpool
1953.1375770020534	258.0	liverpool
1953.1759069130733	420.0	liverpool
1953.2142368240932	681.0	liverpool
1953.2525667351129	930.0	liverpool
1953.2908966461328	951.0	liverpool
1953.3292265571527	751.0	liverpool
1953.3675564681726	853.0	liverpool
1953.4058863791922	863.0	liverpool
1953.4442162902121	1033.0	liverpool
1953.482546201232	941.0	liverpool
1953.520876112252	600.0	liverpool
1953.5592060232718	472.0	liverpool
1953.5975359342915	253.0	liverpool
1953.6358658453114	90.0	liverpool
1953.6741957563313	73.0	liverpool
1953.7125256673512	41.0	liverpool
1953.7508555783709	68.0	liverpool
1953.7891854893908	53.0	liverpool
1953.8275154004107	52.0	liverpool
1953.8658453114306	55.0	liverpool
1953.9041752224505	50.0	liverpool
1953.9425051334701	38.0	liverpool
1953.98083504449	75.0	liverpool
1954.01916495551	63.0	liverpool
1954.0574948665299	50.0	liverpool
1954.0958247775495	61.0	liverpool
1954.1341546885694	96.0	liverpool
1954.1724845995893	129.0	liverpool
1954.2108145106092	196.0	liverpool
1954.2491444216291	241.0	liverpool
1954.2874743326488	223.0	liverpool
1954.3258042436687	249.0	liverpool
1954.3641341546886	251.0	liverpool
1954.4024640657085	277.0	liverpool
1954.4407939767282	424.0	liverpool
1954.479123887748	443.0	liverpool
