pair,state,n,n_adults,e_adj,e_adj_dur,raw_u_f,raw_u_f_adults,fb_stock,e_direct,v,e_shrunk,post_sd,direct_se,shrink_weight_own,window
2024->2025,DE,43.0,43.0,0.0737632104955965,0.0688438541410581,0.3975389689235933,0.3975389689235933,115121.02,0.1049543659589984,0.011931452723684075,0.08106391613017051,0.05378842227434083,0.10923118933566582,0.24248466953397718,2024->2025
2024->2025,MO,46.0,46.0,0.0352270597153847,0.0227453262559901,0.3878771870131267,0.3878771870131267,313757.8399999999,0.09426468454239581,0.011056765113041789,0.07876907942759048,0.053279824958608835,0.10515115364579596,0.2567423399699083,2024->2025
2024->2025,NC,124.0,115.0,0.0366302514440345,0.0429622869294536,0.3645513819077791,0.3746512327515566,1206807.79,0.07963164492331862,0.004364200917601502,0.07631713924438815,0.045131038805869744,0.06606209894940897,0.4667087290784771,2024->2025
2024->2025,AZ,144.0,139.0,0.0549913451034071,0.0577094494419587,0.3592868940109954,0.3682536576555807,1282957.7399999998,0.07255344338156285,0.003585321600838295,0.07297131363116323,0.04300362780737987,0.05987755506730627,0.5158008710190075,2024->2025
2024->2025,VT,44.0,42.0,0.0429576225817417,0.0264282531790303,0.3870920622990225,0.366809047416379,30523.08,0.07095514367128894,0.011846186402917019,0.07281637743959603,0.05374154374111498,0.10884018744433059,0.24380449753576325,2024->2025
2024->2025,SC,74.0,69.0,0.0622369459935986,0.0756908635010625,0.3809193700473429,0.3540667774507461,410365.31,0.05685724664575147,0.007100302022571006,0.06762459542769987,0.049834221336095545,0.0842632898869431,0.3497667575661391,2024->2025
2024->2025,IL,192.0,188.0,0.0536448754522127,0.048262835862708,0.3668388066066577,0.3571424710608452,1878222.79,0.06026015773727822,0.002616082870352573,0.06560837948865217,0.039403148933119046,0.051147657525565854,0.5934858423029671,2024->2025
2024->2025,IN,63.0,56.0,0.0307938302795289,0.030389023844378,0.3474936306212277,0.3446112159574858,523753.65,0.04639572506363513,0.008639597272097854,0.06513316513670522,0.051463541553230706,0.09294943395254139,0.30655319059310737,2024->2025
2024->2025,NH,40.0,40.0,0.0420394594874273,0.0449184385814964,0.3363897823114967,0.3363897823114967,90124.86999999998,0.03729962795879824,0.011954983510363974,0.06467174346242942,0.05380126289616564,0.10933884721526917,0.24212295121218472,2024->2025
2024->2025,WI,28.0,25.0,0.0679458536078887,0.0712747312584345,0.3723100778620115,0.3091126693909233,278409.72,0.007120552319577839,0.018299412131800634,0.06196890444741718,0.05621232326631614,0.13527531974384918,0.17267359542690972,2024->2025
2024->2025,AL,39.0,36.0,0.0461163975575078,0.0517568585250658,0.2944844760180635,0.3204398828143971,195516.27,0.01965284749627072,0.012957614604549781,0.06117700507308315,0.05431243828325791,0.1138315185023453,0.22765308602687784,2024->2025
2024->2025,RI,58.0,56.0,0.0681593782568328,0.0533415301366123,0.3508060422971323,0.3302588697987242,167684.84,0.030516458750269187,0.008461094520322222,0.06007416629284685,0.05129792888216656,0.09198420799421073,0.31100911368847406,2024->2025
2024->2025,MA,226.0,214.0,0.0359324588278189,0.034069657001995,0.3377202096715763,0.3418351315321347,1392064.35,0.04332429803624093,0.002252115868504008,0.05448656932628664,0.03763940143910404,0.04745646287392275,0.6290637886385045,2024->2025
2024->2025,PA,130.0,124.0,0.037245712673916,0.0441648283746795,0.3310335790279806,0.3339910304069494,1274179.2799999998,0.034645677176768946,0.00384278696848214,0.054090436034975195,0.04376652920853449,0.061990216715883,0.49846871415776356,2024->2025
2024->2025,WY,31.0,30.0,0.0410021665789171,0.0429909740595377,0.2572320403823562,0.2621415532977441,18681.950000000004,-0.044847735877282406,0.013811497834484291,0.047797173807949636,0.0546987294090642,0.11752232908891949,0.21662755443481135,2024->2025
2024->2025,NM,67.0,59.0,0.0517539716363253,0.0693904675484625,0.2646046327023893,0.2968151890229468,214849.92,-0.00648523474731786,0.007578036691684747,0.04664093307509494,0.0503928999307502,0.08705191951751981,0.33510584162479623,2024->2025
2024->2025,HI,130.0,126.0,0.0664611633087099,0.0612089176920908,0.3205847060538674,0.3076359041131142,244507.23,0.005486676654284803,0.003621213464209469,0.03854723539655217,0.04311397674997302,0.06017651920981695,0.5133127360673292,2024->2025
2024->2025,WA,169.0,162.0,0.0393789080502532,0.0465642873565854,0.3108288106877708,0.3094351179847628,1223631.35,0.007477305636234867,0.002825609796209135,0.03551646972482175,0.04029989811337266,0.053156465234335655,0.5747721394960835,2024->2025
2024->2025,OH,71.0,65.0,0.0353470808465727,0.0486807416981274,0.2624735619568508,0.2729125923172757,751230.97,-0.03293078549364164,0.006539581459899183,0.034206292118283715,0.049103358017484375,0.08086767870972421,0.3686994012351393,2024->2025
2024->2025,MI,100.0,98.0,0.0442802332703999,0.0446371248455694,0.2813611247880081,0.2900154892141508,888926.26,-0.014008342322931931,0.0045008765833975855,0.03328479179741174,0.0454542838094188,0.06708857267372428,0.4590421173174132,2024->2025
2024->2025,FL,470.0,444.0,0.0540533508014122,0.0588813657241026,0.3157851178998141,0.3142011012655513,5306640.52,0.012750333259979138,0.0010396200072356767,0.02573046879363486,0.02858640775890141,0.032243138917228215,0.7860398057661925,2024->2025
2024->2025,IA,44.0,40.0,0.0542278111785499,0.0631361145233898,0.1907749448231616,0.2144917760605388,215735.99,-0.09756688675006445,0.009023073663510885,0.022566103797481377,0.05180209622142179,0.09498986084583388,0.2973994531137748,2024->2025
2024->2025,NV,134.0,129.0,0.0611713584498326,0.0641437196851392,0.2580054620262972,0.2380304364323579,634932.18,-0.07152399086604813,0.003011851251765001,-0.007620016783352723,0.04103573599852045,0.054880335747560814,0.5591018573554892,2024->2025
2024->2025,CA,1283.0,1237.0,0.0592189425006192,0.0544857528687267,0.2902945578275177,0.2869068196426028,11121481.29,-0.01744773762881604,0.0003542995228597964,-0.00973425748794278,0.01800619236478278,0.018822845769431263,0.9151097942795238,2024->2025
2024->2025,NY,420.0,407.0,0.0534189419609356,0.050066526595386,0.2458009001113891,0.2508395569575819,4384786.43,-0.05735213117076995,0.0009890757778565035,-0.03045334496020645,0.028029007338956496,0.03144957516178086,0.7943023881444772,2024->2025
baseline_2019_24,MD,557.0,535.0,,,,0.46403133860832013,1005078.6300000001,0.15872971890714527,0.0010063658553036681,0.13181596477141072,0.02783264175073474,0.03172326993397226,0.7697557928284364,baseline_2019_24
baseline_2019_24,DC,559.0,539.0,,,,0.4555127024128041,95634.56599999999,0.14925508299059653,0.0009961447402032006,0.12471661888669794,0.027723374532584968,0.031561760727234475,0.7715600599539373,baseline_2019_24
baseline_2019_24,UT,357.0,329.0,,,,0.46447592865707776,251889.472,0.15922420285356811,0.001636700733998193,0.12080802789505635,0.033182392695297123,0.04045615817150948,0.6727382484244206,baseline_2019_24
baseline_2019_24,ID,342.0,320.0,,,,0.4627459481380858,129704.054,0.15730007612905805,0.001681881186433566,0.11881815674752907,0.033486351531084105,0.041010744768091766,0.6667151924335003,baseline_2019_24
