pair,stratifier,level,n,e_adj,raw_u_f,wpop
2020->2021,race_eth,hispanic,2318,-0.02032719588347631,0.29974023335962313,4957788.26
2020->2021,race_eth,nh_asian,1575,-0.026584556634895753,0.2661687901105909,3248015.2899999996
2020->2021,race_eth,nh_black,449,-0.0376464259908595,0.38619552729012,1210499.2599999998
2020->2021,race_eth,nh_other,65,-0.035475308538721606,0.3474194068344414,114339.41
2020->2021,race_eth,nh_white,1131,-0.03447880117930471,0.2255675642631137,3206973.8499999996
2020->2021,educ4,lt_hs,1058,0.003397162316785233,0.26142823014635447,2195041.33
2020->2021,educ4,hs,1180,-0.057518901232601345,0.28408270970026755,2758630.7199999997
2020->2021,educ4,some_col,767,-0.024886002920053486,0.2720414215689265,1770354.96
2020->2021,educ4,ba_plus,1899,-0.018124360985745484,0.25224713642590957,4520805.85
2020->2021,income_q,q1_low,1390,-0.0313116611483542,0.2736976853211557,3154755.58
2020->2021,income_q,q2,1383,-0.030994713614661898,0.30575739243075784,3196295.41
2020->2021,income_q,q3,1381,-0.023888993390757368,0.27952896263091975,3262897.8100000005
2020->2021,income_q,q4_high,1384,-0.022898900863158118,0.2651872169470854,3123667.27
2020->2021,duration,0-4 yrs,664,-0.02441290774391685,0.4750731823771611,1629569.23
2020->2021,duration,10+ yrs,4261,-0.027980864120295268,0.23810400723256603,9626293.05
2020->2021,duration,5-9 yrs,613,-0.025773694064361433,0.34752583963358713,1481753.79
2021->2022,sex,female,3029,0.016157874563672306,0.3156979845865306,6450725.47
2021->2022,sex,male,2704,0.048497062680604795,0.35048651542154863,5985817.45
2021->2022,agegrp,0-14,256,0.050764673238137104,0.3380211146117684,500356.82000000007
2021->2022,agegrp,15-24,425,0.0836127695745927,0.5029297976571999,924814.7200000001
2021->2022,agegrp,25-34,883,0.04761582926179656,0.4245232670255748,2094753.36
2021->2022,agegrp,35-44,1233,0.02191644627321306,0.33661954110316233,2601720.26
2021->2022,agegrp,45-54,1104,0.08449850099206735,0.2921973540049043,2231096.35
2021->2022,agegrp,55-64,836,-0.02834244891464368,0.2704987624093495,1849416.04
2021->2022,agegrp,65-74,611,0.02901908456206768,0.24642268286591976,1363478.5
2021->2022,agegrp,75+,385,-0.046664334529749225,0.28354654040104194,870906.8700000001
2021->2022,citizenship,naturalized,2891,0.02082317596694675,0.2982482258029463,6298684.51
2021->2022,citizenship,noncitizen,2842,0.04290844518589053,0.367531751192677,6137858.41
2021->2022,region_birth,africa,341,0.0475250681082918,0.36275993833685966,740630.46
2021->2022,region_birth,asia,1669,0.024892597660409778,0.3580737650876229,3594591.27
2021->2022,region_birth,europe,626,0.013949376524453848,0.2747952291809734,1666585.12
2021->2022,region_birth,mexico,1514,0.034660777153193816,0.3160453209276668,2831757.5700000003
2021->2022,region_birth,oceania,51,0.05372805975970263,0.4236747941739084,83130.86
2021->2022,region_birth,other_americas,1525,0.04113244798398466,0.3374976613117571,3505009.71
2021->2022,region_birth,other_unknown,7,-0.01263525737863979,0.5083620154563337,14837.93
2021->2022,race_eth,hispanic,2557,0.04025869260412201,0.3185280143780237,5086162.18
2021->2022,race_eth,nh_asian,1431,0.024132842813215895,0.34626911664435284,2895327.05
2021->2022,race_eth,nh_black,497,0.045358119741372264,0.3911651207093522,1164244.09
2021->2022,race_eth,nh_other,93,0.038824296637035974,0.37849883351719454,197186.79000000004
2021->2022,race_eth,nh_white,1155,0.019209291858095327,0.3173415960170012,3093622.8099999996
2021->2022,educ4,lt_hs,1147,0.03650013297521261,0.2840456040713974,2299880.62
2021->2022,educ4,hs,1347,0.01573896400858005,0.33478765817414263,2926535.54
2021->2022,educ4,some_col,755,0.0486700903579339,0.34771957380052393,1657745.8199999998
2021->2022,educ4,ba_plus,1803,0.019652160528379585,0.3127322907337825,4127209.4
2021->2022,income_q,q1_low,1434,0.03130269779224103,0.3254776411237898,3157228.67
2021->2022,income_q,q2,1435,0.03772579882688687,0.35266813544599707,3049421.09
2021->2022,income_q,q3,1431,0.03402522984131556,0.3483622442256136,3089777.23
2021->2022,income_q,q4_high,1433,0.024050887557271028,0.3041373730427845,3140115.93
2021->2022,duration,0-4 yrs,783,0.05403186872819989,0.41922944255541855,1793755.17
2021->2022,duration,10+ yrs,4362,0.025610572313825856,0.31012583116099957,9366213.35
2021->2022,duration,5-9 yrs,588,0.04522301941303857,0.3742278162557545,1276574.4
2022->2023,sex,female,3005,-0.007502914077058189,0.3215315806799259,6808705.370000001
2022->2023,sex,male,2711,0.01152376501403073,0.3448920759001501,6379014.5200000005
2022->2023,agegrp,0-14,245,0.018385132540781828,0.3458476072633763,558518.22
2022->2023,agegrp,15-24,442,0.06450273145904344,0.47362780949687344,1092533.25
2022->2023,agegrp,25-34,876,0.024002531230576628,0.4488356525231117,2154896.24
2022->2023,agegrp,35-44,1103,0.015217550667515328,0.3273555739233889,2403331.92
2022->2023,agegrp,45-54,1133,-0.014737252590075009,0.29068218056193534,2481366.07
2022->2023,agegrp,55-64,897,-0.07739663340656328,0.25759474116555275,2102062.75
2022->2023,agegrp,65-74,575,0.0016120871201591638,0.2527262171972167,1317011.7200000002
2022->2023,agegrp,75+,445,0.04687152799468458,0.30530442067276226,1077999.7200000002
2022->2023,citizenship,naturalized,2876,-0.009153454454888283,0.2788418278006521,6673842.46
2022->2023,citizenship,noncitizen,2840,0.01282091148883729,0.388146531335638,6513877.43
2022->2023,region_birth,africa,314,-0.007876656670047047,0.40715137295753284,823493.0599999999
2022->2023,region_birth,asia,1813,-0.004830523077448224,0.314985309177073,4120684.75
2022->2023,region_birth,europe,649,-0.00695392657781076,0.23966320503688923,1834362.35
2022->2023,region_birth,mexico,1376,0.030360324983106514,0.3531945067232287,2750000.16
2022->2023,region_birth,oceania,42,-0.02486532796152589,0.42765422696364075,61344.979999999996
2022->2023,region_birth,other_americas,1508,-0.005665167646924091,0.36529586648185486,3568399.4799999995
2022->2023,region_birth,other_unknown,14,-0.006025636197681478,0.5222925954752674,29435.110000000004
2022->2023,race_eth,hispanic,2441,0.01409445049287432,0.3626938854258806,5101431.66
2022->2023,race_eth,nh_asian,1568,-0.005082369169168303,0.32389582357034985,3398124.52
2022->2023,race_eth,nh_black,481,-0.00957529020388569,0.40639373175510546,1262682.0
2022->2023,race_eth,nh_other,87,-0.01782937122936484,0.1642453263200406,157780.37999999998
2022->2023,race_eth,nh_white,1139,-0.005295021300432139,0.27521738346876395,3267701.33
2022->2023,educ4,lt_hs,1074,0.023744037232831073,0.33792691671244707,2294412.1100000003
2022->2023,educ4,hs,1341,-0.008536282302813402,0.3143335630568916,3037970.2399999998
2022->2023,educ4,some_col,786,-0.05258251491062542,0.3307773897844902,1845744.99
2022->2023,educ4,ba_plus,1828,0.0023387644962296087,0.30695103830477144,4358541.08
2022->2023,income_q,q1_low,1431,0.0044234780838850254,0.33873168739432896,3380864.45
2022->2023,income_q,q2,1427,0.003403390671797361,0.32943272356436115,3247869.9699999997
2022->2023,income_q,q3,1431,0.00156856974887634,0.3645470194067303,3251220.5200000005
2022->2023,income_q,q4_high,1427,-0.0026252117250388143,0.29896381845390796,3307764.95
2022->2023,duration,0-4 yrs,708,0.020352978344226193,0.44520197897520264,1807933.72
2022->2023,duration,10+ yrs,4346,-0.0034643080915485315,0.303247967356015,9859208.08
2022->2023,duration,5-9 yrs,662,0.013010598790953051,0.3910387002879938,1520578.0899999999
2023->2024,sex,female,3205,-0.022634457562266057,0.33825364062275454,7331874.05
2023->2024,sex,male,2925,0.007621945692793632,0.3685633993578659,7058136.550000001
2023->2024,agegrp,0-14,254,-0.04398832178631389,0.4531856519756496,602360.8400000001
2023->2024,agegrp,15-24,474,-0.010459085897448619,0.4902225201424759,1213523.85
2023->2024,agegrp,25-34,887,-0.04439404505180962,0.4539466540541538,2180712.67
2023->2024,agegrp,35-44,1253,-0.11382752245856,0.359354464154816,2856293.75
2023->2024,agegrp,45-54,1216,0.037390187330578764,0.30199117414694737,2764031.97
2023->2024,agegrp,55-64,926,0.0038868809872911374,0.2726416232944757,2139493.0199999996
2023->2024,agegrp,65-74,664,0.10915687210053315,0.28108910774391105,1564501.96
2023->2024,agegrp,75+,456,0.06222909697202013,0.31745070450122126,1069092.54
2023->2024,citizenship,naturalized,3152,0.012879475325183916,0.3159122943454016,7487463.870000001
2023->2024,citizenship,noncitizen,2978,-0.03021940638452643,0.3934811463420545,6902546.73
2023->2024,region_birth,africa,264,-0.04055634888032693,0.3718906943582438,789758.3199999998
2023->2024,region_birth,asia,1904,9.062936615632626e-05,0.3493414474833738,4393907.74
2023->2024,region_birth,europe,639,0.02323484501149277,0.31387326965641993,1856655.1099999999
2023->2024,region_birth,mexico,1441,-0.036254057031213614,0.30206980802469463,2929792.97
2023->2024,region_birth,oceania,81,-0.012260353175827373,0.41432866394918166,144987.0
2023->2024,region_birth,other_americas,1787,-0.003695412722582533,0.40090738935345377,4237299.0
2023->2024,region_birth,other_unknown,14,-0.00028751345437108696,0.6948298425491206,37610.46000000001
2023->2024,race_eth,hispanic,2748,-0.02036212399837726,0.34956265081145843,5846447.34
2023->2024,race_eth,nh_asian,1629,-0.0024392808812060975,0.33781717907013287,3552938.17
2023->2024,race_eth,nh_black,458,-0.020522152907112463,0.42292248187081194,1337653.67
2023->2024,race_eth,nh_other,104,-0.017896656871235775,0.4655949946275352,204896.63999999998
2023->2024,race_eth,nh_white,1191,0.013536521760040707,0.34115792871522344,3448074.7800000003
2023->2024,educ4,lt_hs,1207,0.03503118106936241,0.3420642837439343,2551865.37
2023->2024,educ4,hs,1423,-0.03599850664434498,0.3286491690642526,3320402.34
2023->2024,educ4,some_col,806,0.0030304296231954894,0.32803517990343956,1925524.33
2023->2024,educ4,ba_plus,1966,-0.01018931367659368,0.3386984105447385,4776333.870000001
2023->2024,income_q,q1_low,1537,-0.00543314424840816,0.36056173951775267,3589636.7199999997
2023->2024,income_q,q2,1528,-0.015583324347949765,0.33987397736528435,3595890.54
2023->2024,income_q,q3,1533,-0.006417185142617116,0.3486852023667764,3615023.24
2023->2024,income_q,q4_high,1532,-0.0037384570539041257,0.3634149603724527,3589460.0999999996
2023->2024,duration,0-4 yrs,1018,-0.040462370177439234,0.515207778716981,2571447.1999999997
2023->2024,duration,10+ yrs,4469,0.003925100673010223,0.30921219569640124,10294513.07
2023->2024,duration,5-9 yrs,643,-0.03183386354531537,0.3762246486964771,1524050.33
2024->2025,sex,female,3386,0.036350732001706736,0.3357821649757133,7866190.69
2024->2025,sex,male,3159,0.06653058009854096,0.37101037889290717,7782541.040000001
2024->2025,agegrp,0-14,331,0.029060557739662374,0.4317511070076348,795943.02
2024->2025,agegrp,15-24,520,0.04065614758282353,0.5240784036285621,1333367.88
2024->2025,agegrp,25-34,978,0.06380732804007794,0.4202255802325473,2468897.1800000006
2024->2025,agegrp,35-44,1342,-0.030170327626709292,0.34055791855311696,3114650.3200000003
2024->2025,agegrp,45-54,1219,0.05187057007693695,0.3241782927584233,2825975.46
2024->2025,agegrp,55-64,981,0.11236063095633561,0.2889180044611327,2341656.4200000004
2024->2025,agegrp,65-74,706,0.14469654670562548,0.2785279236368636,1662062.69
2024->2025,agegrp,75+,468,0.011413359621229878,0.3005675140607473,1106178.76
2024->2025,citizenship,naturalized,3196,0.05077737289610034,0.30740014572632757,7659439.57
