pair,state,n,n_adults,e_adj,e_adj_dur,raw_u_f,raw_u_f_adults,fb_stock
2020->2021,NY,440,423,-0.036415511627990005,-0.03644248112189835,0.24246108876351413,0.23777158415220728,4569485.23
2020->2021,NC,115,108,-0.020306136183119154,-0.019519135510894032,0.2003642527630533,0.19014618192706023,1117657.88
2020->2021,ND,24,23,-0.011741931995260564,0.01160214925440023,0.4289930399976103,0.44267269333293885,27187.02
2020->2021,OH,43,43,-0.02520533744021174,-0.026479813438267007,0.1894833485583627,0.1894833485583627,600787.9
2020->2021,OK,61,58,-0.025321753329213156,-0.027143491789872232,0.16793085858084922,0.1746102550560381,231895.10000000003
2020->2021,OR,90,84,-0.014155566641755407,-0.008226367713094023,0.2632726794177102,0.2636089535473538,355092.53
2020->2021,PA,95,89,-0.02189410722837499,-0.020316990730985633,0.3409574487243275,0.3212627339827778,945143.6799999999
2020->2021,RI,42,39,-0.02791885395385636,-0.03070524152896924,0.4238917198357691,0.439437710049753,131947.75
2020->2021,SC,26,26,-0.011582651523984891,-0.011203773863290339,0.39898131468160236,0.39898131468160236,229690.44000000006
2020->2021,SD,21,17,-0.04018682980862593,-0.037096713366846515,0.24654830023726299,0.19992270119963576,27172.46
2020->2021,TN,37,34,-0.02313559922614222,-0.016993666198442503,0.34396434976780205,0.36875171907858834,323649.63999999996
2020->2021,TX,481,463,-0.01660800256723132,-0.011069741362772698,0.30935224831743646,0.31671806726841745,4893861.48
2020->2021,UT,50,48,-0.016956443699442422,0.0025292021907809704,0.3581445620324584,0.3688895325361303,228546.04
2020->2021,VT,24,24,-0.027525289794346045,-0.02871245845895374,0.26119453101487633,0.26119453101487633,22743.140000000003
2020->2021,VA,97,95,-0.01964341389580787,-0.01741635271686358,0.29770362994355076,0.2894108838759194,1093997.0
2020->2021,WA,114,110,-0.022071480430535938,-0.013302194534118747,0.29694191235105677,0.2992303726226074,981942.8300000001
2020->2021,WV,14,13,-0.02840478646916169,-0.015260494248905422,0.605283561546828,0.5601066440022866,29838.070000000007
2020->2021,WI,37,37,-0.02682905809100849,-0.029425610766436953,0.24479873041196312,0.24479873041196312,257951.08999999997
2020->2021,WY,15,14,-0.03983817402078287,-0.01840925743489347,0.45648457581948343,0.4697890844276904,13692.73
2021->2022,AL,30,25,0.035367718622150775,0.029652635525342644,0.4476890422284407,0.3834007077061582,113266.81999999998
2021->2022,AK,35,34,0.017424141757008273,0.02876802350057681,0.6788013430803281,0.6574329916495181,44874.67
2021->2022,AZ,117,113,0.018767396254052965,0.018151506322195355,0.32050673452843514,0.32532289877631554,1101857.87
2021->2022,AR,56,54,0.030499779025033383,0.03926258490385924,0.2853378131330599,0.29691929404293194,164956.06
2021->2022,CA,1026,1006,0.031161537363226376,0.033290957387740926,0.2924753286080094,0.2927453041662311,9770247.129999999
2021->2022,CO,80,76,0.04188396511594841,0.049695936701151674,0.41182981988060213,0.3913923991075907,597828.8
2021->2022,CT,95,89,0.025522541853600596,0.023427245082639835,0.28526686757204306,0.2966843393175742,548922.94
2021->2022,DE,41,38,0.024649467419842006,0.027324189597232613,0.36310178879151517,0.38885982347859127,98095.53
2021->2022,DC,104,99,0.05482379880421792,0.05038045684769326,0.4367109845629627,0.45305027068731124,106067.51
2021->2022,FL,512,500,0.031318147151754766,0.03200941321632233,0.3329253286358913,0.3286662549259215,4582684.119999999
2021->2022,GA,116,111,0.03809505154594514,0.03781826555946555,0.3469878933324757,0.32224643728262625,1217210.69
2021->2022,HI,122,119,0.035020865499724496,0.038320830765967366,0.2529517855197325,0.24956209284042324,233622.62
2021->2022,ID,90,85,0.0297375889489959,0.025842582066645404,0.49638597939584256,0.5063502471164711,143893.29
2021->2022,IL,162,157,0.0256872700725721,0.022755855104885033,0.33938658019260654,0.3425522550274788,1852122.21
2021->2022,IN,34,31,0.02472400197222357,0.02316497664952513,0.4637449676201901,0.494054256469499,288234.57
2021->2022,IA,40,36,0.0324286762321574,0.028502346538583172,0.3459730256762426,0.36723724727309204,200929.22
2021->2022,KS,33,31,0.017952863577083058,0.012134867705338233,0.3847817645687158,0.4042839382338324,161381.71999999997
2021->2022,KY,52,45,0.053313693654057935,0.05775636845458657,0.3934625178794901,0.4803127298199067,287416.81
2021->2022,LA,48,48,0.033943005744687234,0.032572713259008935,0.43164657072605,0.43164657072605,217446.52
2021->2022,ME,14,14,0.021139895375715374,0.008921044639655776,0.3499858441305225,0.3499858441305225,40359.780000000006
2021->2022,MD,108,103,0.0323212886742923,0.03074188060203312,0.5141561319286923,0.5072470184208645,943300.54
2021->2022,MA,165,161,0.027710803105029665,0.033421301603930066,0.2085321351382956,0.20394444485436666,1186943.58
2021->2022,MI,85,80,0.01709177114951018,0.01847340763147454,0.34094554656423914,0.3358847844731714,634383.19
2021->2022,MN,47,45,0.0365259378061731,0.040215634271334635,0.35067685322428693,0.3386517466555535,459176.77999999997
2021->2022,MS,29,23,0.04960766519110136,0.038526823209020705,0.3499507209936043,0.35316622453214935,60709.70999999999
2021->2022,MO,28,27,0.03717953159576382,0.04207401434600649,0.2725615963356861,0.2843447232292743,249765.59999999998
2021->2022,MT,18,17,0.028193512823115448,0.030208288648035205,0.40684871684147095,0.41818149902577617,21609.97
2021->2022,NE,58,56,0.048601792931614395,0.06024108248247586,0.4197294887826161,0.43024199157017506,133756.35
2021->2022,NV,80,80,0.03204638144487162,0.03585794797847907,0.394740165910247,0.394740165910247,470209.70999999996
2021->2022,NH,49,46,0.020296719783289226,0.02664884574275562,0.1981622301132608,0.18333579955459736,91100.51000000001
2021->2022,NJ,194,188,0.02901927456427335,0.023926712034721413,0.33878172797787254,0.3298811034050039,2064295.9
2021->2022,NM,71,70,0.03519057589266145,0.03225994093924889,0.35284034949934046,0.33354684729989587,211032.99
2021->2022,NY,407,387,0.03347026604071854,0.032652850243610025,0.28223117641051454,0.2965790013224587,4576318.390000001
