country	model	peak1_day	peak1_mag	peak1_day_lo	peak1_day_hi	peak1_mag_lo	peak1_mag_hi	peak2_day	peak2_mag	peak2_day_lo	peak2_day_hi	peak2_mag_lo	peak2_mag_hi	data_peak1_day	data_peak1_mag	data_peak2_day	data_peak2_mag	area_pred	aicc_inc	r2adj_train	r0_med	r0_lo	r0_hi	aicc_inc_osi	osi_rms_train	x_rebound	reff_med	reff_lo	reff_hi
denmark	sirx	209	8.378668429546375e-05	208.0	209.0	8.365738962652027e-05	8.392446011592169e-05	231	6.949493975341178e-05	231.0	231.0	6.921571995198917e-05	6.992222269498615e-05	209	9.617600007734538e-05	298	0.0006289778333007033	0.0255585117072629	-2238.5575510386725	0.7857706924434119	3.110820486001803	1.047130423717099	3.110965432044272	-2868.179945606206	0.35067395985272626	0.0005093332228518488	1.5198981666953681	0.6335276822813285	1.5199748704133467
denmark	sirx_s2	214	9.755133010728394e-05	213.0	214.0	9.506524154176723e-05	0.00010065032047743556	231	6.14985098741897e-05	231.0	231.0	5.984863861713594e-05	6.314606369754665e-05	209	9.617600007734538e-05	298	0.0006289778333007033	0.024564337253080583	-2249.315949639531	0.8905671209720231	1.562763376483317	0.88056799687467	1.5677663235584687	-2879.0029305727758	0.5552623374147847	0.0038248209204501116	1.369044394448317	0.8675284653509129	1.3761840908489658
finland	sir	53	2.3108906623846696e-05	53.0	54.0	2.2530594021615452e-05	2.36877378001133e-05	252	0.004739486943388907	249.0	256.0	0.0035670889286272683	0.009730136011505502	45	2.9769999927807217e-05	293	8.810083328520481e-05	0.11854015060377149	-2457.3515292120373	0.9288927788326207	2.74803361201538	0.6864120528332794	2.9303612375268657						
finland	sirx	53	2.3074593038066798e-05	52.0	54.0	2.2475317073052615e-05	2.370552670038189e-05	251	0.0038638408055851636	244.95	256.04999999999995	0.0033686761881186627	0.005801389965606622	45	2.9769999927807217e-05	293	8.810083328520481e-05	0.09720991582254848	-2501.691435629957	0.9264917343455756	2.072420903131763	0.5505967059893884	2.337938085899596	-3403.190705650444	0.4959728152463437	0.019982683781617414	2.0695093306595416	0.550596705990964	2.3304777326773825
finland	sirx_s2	53	2.3084945305228624e-05	52.0	54.0	2.2511662134814644e-05	2.3713558152171727e-05	252	0.004122110303112202	243.95	256.0	0.0025924560847316084	0.009244651251809172	45	2.9769999927807217e-05	293	8.810083328520481e-05	0.10718979668239159	-2478.2342410843203	0.9267507017282248	2.130461265115596	0.5477985242471776	2.3331168966682907	-3418.437238197644	0.49452430174610135	0.04912774550418794	2.126722112345384	0.5477985242181826	2.3329326306284304
france	sir	200	0.00014363069556846364	200.0	200.0	0.0001349881862802641	0.00015146716417095555	253	0.015356584499649611	248.0	257.0	0.006743315097278833	0.027508354178600612	200	0.00011227916666590227	259	0.0011448329999952914	0.4833869228406165	-2139.3002724402154	0.8035637488971497	1.7376499262395328	0.9413671902007741	2.362959594051872						
france	sirx	200	0.00013893909803245076	200.0	200.0	0.00013492798053133214	0.00014168953495863486	208	0.0001950622502938061	207.0	210.0	0.0001744940043465399	0.000220255539327278	200	0.00011227916666590227	259	0.0011448329999952914	0.041490892001832376	-2899.9111364795413	0.8109138584609499	1.4356490868263854	0.8922626916809564	1.4389876258745138	-3903.0509262207306	0.6547428748768411	0.8622685988673784	1.366640075023377	0.8904195544383627	1.3697996175288925
france	sirx_s2	200	0.00012773660781410779	200.0	200.0	0.0001261843374910367	0.00012871897411082553	268	0.0028605270379994624	268.0	268.0	0.0028462533061287365	0.0028719569859701173	200	0.00011227916666590227	259	0.0011448329999952914	0.12802740369849666	-2564.8980146065114	0.9565553757626716	1.588769427501215	1.316828472485816	1.5889768665443913	-3499.99392906146	0.4167555657346709	3.3847260549890734e-09	1.3557113956972549	0.9306649160024102	1.3558780638753825
germany	sir	41	6.174395944264996e-05	40.0	42.0	5.95575953494993e-05	6.433249152860336e-05	220	0.011410464581377549	217.0	223.0	0.007768110627706812	0.02964213498572715	37	6.859999999761291e-05	300	0.0003137203333306996	0.15066610606214137	-2337.059120900608	0.7990044186598764	2.9353472191758163	0.18439828767729718	3.6794597131395292						
germany	sirx	35	7.573216350724792e-05	35.0	35.0	7.544935337108856e-05	7.601823235390802e-05	297	0.000703859854591172	297.0	297.0	0.0006996700621342386	0.0007109080499504734	37	6.859999999761291e-05	300	0.0003137203333306996	0.02709438571507385	-2987.9497152763747	0.9324785854205943	1.9445438396955783	1.6337511682557455	1.94465870335759	-3934.4993390761833	0.3612735862824984	2.265875820306462e-09	1.6210785524508282	0.9164945652260267	1.6212039610808087
germany	sirx_s2	36	7.865700640027224e-05	36.0	36.0	7.850966960110536e-05	7.879438345425833e-05	296	0.0012526845547220513	296.0	296.0	0.001242453266424425	0.0012665131438427044	37	6.859999999761291e-05	300	0.0003137203333306996	0.0599126415746168	-2765.7046210979324	0.9362666545078993	1.964642839625772	1.612906754985418	1.9648142603732455	-3712.2543031297096	0.3607721427323352	5.717071902555659e-07	1.5968558556287828	0.9056879347180469	1.5969978576909594
ireland	sir	51	0.00014157623249528436	50.0	51.0	0.00013544438884120072	0.00015040381339899021	222	0.008332751991053735	218.0	225.0	0.0063493272975270075	0.016849364284560166	48	0.00020160866671824174	307	0.00023910850004435187	0.13801756059539555	-2320.3332047600757	0.899541824901121	4.001634801710303	0.04807021648665407	4.736385901093463						
ireland	sirx	50	0.00019723316074780198	50.0	51.0	0.00016419488973206205	0.00021918521687498365	216	0.010884899374536086	215.0	220.0	0.010260646950424503	0.014724880285522778	48	0.00020160866671824174	307	0.00023910850004435187	0.16821470990832038	-2278.1978706356535	0.7123970136127654	2.8784847213203024	0.2526232037239515	3.0357770069219754	-3016.3877528177227	0.6738084208448523	1.3552186476143676e-11	2.8784762254005294	0.2526232037341193	3.035776998503544
ireland	sirx_s2	51	0.00018055329515028146	51.0	51.0	0.0001770815708055231	0.00018390987970185246	201	1.8857538791123192e-10	201.0	201.0	1.6803071049975843e-10	2.0442500573536565e-10	48	0.00020160866671824174	307	0.00023910850004435187	0.03199706520594993	-2781.06407604557	0.8571693393449821	1.4215510640461941	1.004997933468602	1.4226750517586544	-3761.0619269553863	0.4511754336766958	0.0	1.4215079292016748	0.7404029511640401	1.4226319335289115
netherlands	sir	200	1.7426032428250236e-05	200.0	200.0	1.57796222728915e-05	1.906691561947265e-05	255	0.010813763337841288	249.0	261.525	0.007361863687095926	0.018708230930270006	48	1.3933333334924728e-05	300	0.0001446955000040461	0.2991669955349361	-2194.5254154428067	0.6294301693173706	2.4574899696684653	0.7561894716643696	2.6410032257280487						
netherlands	sirx	200	1.7520930002431953e-05	200.0	200.0	1.589424078269141e-05	1.939328325746463e-05	258	0.013984356181562862	248.0	262.0	0.0028185017098902743	0.025701381933964398	48	1.3933333334924728e-05	300	0.0001446955000040461	0.38160372190731584	-2114.9729085077633	0.6046416134224417	1.6312320374096105	0.6479359776594994	1.993004912201226	-2887.844573555666	0.5906560391020335	0.019999617051412864	1.6291554162773099	0.6479359776235961	1.9916096256491678
